"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"N",1983,1995,12,"3B",0,720,2128,245,529,90,13,48,220,14,11,145,438,249,371,298
"N",1980,1996,17,"3B",0.29,2212,8099,908,2085,432,36,260,1125,51,66,649,1307,257,416,316
"N",1979,1990,12,"OF",0.17,1287,4479,594,1236,196,41,130,597,83,30,351,775,276,425,328
"N",1972,1982,11,"SS",0,622,1081,108,230,32,6,0,65,9,10,74,133,213,253,266
"N",1978,1994,17,"OF",0.06,1613,5170,909,1488,273,58,98,533,370,140,623,849,288,420,371
"N",1955,1966,12,"3B",0.5,1441,5428,647,1486,239,21,133,728,14,14,337,434,274,399,315
"N",1984,1995,11,"3B",0,1246,3901,462,942,206,18,134,505,18,16,343,785,241,407,306
"N",1969,1986,17,"C",0,1049,2743,245,618,128,10,58,321,5,10,230,419,225,343,284
"N",1986,1998,11,"3B",0,582,1345,155,364,63,6,20,138,33,17,47,191,271,371,302
"N",1981,1992,10,"C",0,140,252,20,48,6,1,1,21,2,1,17,35,190,234,244
"N",1957,1971,12,"C",0,536,1373,163,349,73,8,46,193,5,2,148,237,254,420,328
"N",1997,2008,12,"2B",0.25,1418,5113,720,1524,341,12,128,654,23,16,478,556,298,445,359
"N",1954,1965,12,"1B",0.33,1627,6046,765,1716,290,49,126,658,45,35,279,247,284,411,315
"N",1995,2008,14,"2B",0.14,1975,7408,1249,2054,440,79,192,875,273,97,820,1201,277,436,352
"N",1989,1998,10,"OF",0,598,1573,241,423,77,8,25,132,58,29,138,280,269,376,333
"N",1941,1962,18,"OF",0,1904,6296,789,1700,276,72,84,729,101,63,594,551,270,377,334
"N",1989,2003,15,"OF",0.27,1731,6103,1017,1475,284,23,355,1072,121,59,865,1513,242,470,337
"N",1968,1982,14,"OF",0.14,1197,4205,652,1146,193,32,166,674,128,61,462,941,273,452,347
"N",1957,1966,10,"SS",0.1,1077,3546,411,935,146,13,22,261,31,31,265,353,264,331,317
"N",1980,1997,18,"C",0.28,1988,6489,667,1687,298,27,107,708,80,63,455,846,260,364,309
"N",1969,1981,13,"1B",0,883,2672,259,699,116,13,69,391,6,10,190,403,262,392,312
"N",1981,1994,14,"2B",0.36,1769,6940,913,1949,278,47,54,550,444,178,556,584,281,358,335
"N",1954,1963,10,"SS",0,913,2073,236,512,90,10,12,163,17,14,206,192,247,317,318
"N",1954,1963,10,"2B",0,1034,3544,356,841,159,18,41,271,19,22,246,439,237,327,292
"N",1974,1986,10,"OF",0,730,1913,233,537,93,12,33,179,18,24,138,288,281,394,330
"N",1965,1979,15,"OF",0.13,1881,6650,964,1803,300,51,160,758,233,117,934,708,271,404,360
"N",1965,1974,10,"OF",0,540,1364,166,325,68,10,24,159,16,10,160,265,238,356,323
"N",1984,1996,13,"OF",0,1359,3761,491,1029,156,37,47,357,214,66,336,635,274,372,335
"N",1964,1975,12,"OF",0,1366,4117,601,1041,170,43,139,507,64,49,663,785,253,416,355
"N",1992,2001,10,"OF",0,1204,4017,648,1061,195,16,101,461,212,98,510,676,264,396,349
"N",1992,2002,11,"SS",0,775,1773,203,470,84,6,18,196,10,5,181,211,265,350,338
"N",1969,1978,10,"SS",0,931,3131,313,771,108,22,22,241,11,17,245,369,246,316,301
"N",1963,1977,15,"OF",0.2,1920,6653,1105,1665,285,39,291,964,225,101,1224,1427,250,436,366
"N",1957,1968,12,"C",0,906,2504,215,670,115,19,27,266,0,7,154,279,268,361,310
"N",1990,2000,11,"2B",0.09,1298,4558,597,1222,209,54,32,351,123,45,437,714,268,359,338
"N",1964,1980,17,"OF",0.12,1947,6042,776,1513,282,55,134,620,171,93,449,877,250,382,302
"N",1975,1987,12,"SS",0,1039,3191,320,709,109,19,22,229,94,51,241,564,222,289,277
"N",1980,1994,15,"OF",0.13,1645,5974,656,1608,290,31,149,824,64,56,387,1005,269,403,315
"N",1974,1986,13,"OF",0,1584,5534,704,1494,276,68,108,717,120,74,389,659,270,403,319
"N",1970,1986,17,"OF",0.24,2006,7310,1084,2087,436,60,199,976,550,179,664,938,285,443,347
"N",1951,1962,10,"C",0,424,985,83,262,27,11,6,87,1,1,76,62,266,334,321
"N",1944,1962,17,"SS",0.18,1531,5839,711,1529,272,62,104,708,35,14,351,432,262,383,303
"N",1977,1988,12,"3B",0,1089,3375,371,876,170,16,112,435,50,37,213,521,260,419,305
"N",1990,2004,14,"OF",0.07,1701,5747,968,1561,356,54,238,874,258,117,828,1550,272,477,364
"N",1988,2001,14,"3B",0,1547,5262,580,1379,251,16,144,740,47,31,420,918,262,398,316
"N",1953,1966,14,"C",0.36,1212,3581,432,915,128,15,155,540,17,18,545,577,256,429,355
"N",1963,1974,12,"C",0,551,1462,117,320,56,5,26,148,3,7,96,246,219,317,267
"N",1983,1996,14,"SS",0,1368,4299,505,989,137,32,56,353,120,41,446,684,230,316,308
"N",1986,1999,12,"SS",0,862,2526,305,597,125,13,69,340,10,18,227,656,236,378,298
"N",1976,1992,17,"2B",0,1801,6189,726,1696,262,38,47,568,137,78,383,501,274,351,319
"N",1963,1974,12,"SS",0,1129,3449,331,803,108,13,47,254,22,23,317,414,233,313,300
"N",1997,2008,12,"OF",0,1388,4724,713,1167,252,36,204,624,113,39,658,1147,247,445,337
"N",1952,1967,14,"SS",0.36,1929,7484,829,2138,352,67,39,707,14,27,490,512,286,366,330
"N",1978,1990,13,"2B",0,1276,4214,458,1118,190,33,42,344,40,26,369,681,265,356,323
"N",1985,2002,18,"SS",0.11,1814,5927,736,1597,292,62,150,668,212,82,203,1000,269,416,296
"N",1952,1963,10,"3B",0,560,792,130,164,27,2,8,73,7,7,145,127,207,277,330
"N",1974,1985,12,"1B",0,1118,3734,411,944,153,31,86,459,61,29,219,277,253,379,293
"N",1986,1996,10,"OF",0,819,2034,292,546,108,26,30,219,45,28,191,248,268,391,330
"N",1995,2006,12,"3B",0.08,1217,4188,584,1131,209,6,208,743,18,5,449,1019,270,472,343
"N",1963,1974,10,"OF",0,564,1306,126,308,41,15,33,123,20,13,44,342,236,366,265
"N",1969,1983,15,"C",0.07,1555,4390,653,1060,179,20,201,674,36,42,984,998,241,429,388
"N",1970,1988,19,"SS",0.47,2488,8723,993,2326,389,48,101,950,321,109,736,1186,267,357,322
"N",1972,1986,15,"OF",0,1749,6331,777,1802,337,62,117,754,248,92,323,781,285,413,320
"N",1972,1987,16,"2B",0.12,1755,5829,733,1619,267,63,130,745,79,60,500,715,278,412,334
"N",1943,1962,17,"OF",0.06,1796,5587,830,1585,257,63,147,830,29,45,921,479,284,431,386
"N",1971,1981,11,"SS",0,624,1407,167,309,56,5,9,86,36,21,127,198,220,286,286
"N",1972,1987,16,"OF",0,1523,4549,650,1303,207,42,91,458,185,86,372,657,286,410,339
"N",1988,2005,17,"C",0,1099,3282,289,831,168,12,69,346,9,14,155,557,253,375,288
"N",1974,1991,10,"OF",0,1107,3927,459,1104,229,32,61,391,50,37,325,403,281,402,336
