 CALERA HS,CALERA,BRYAN COUNTY,747,178,2016-09-14 18:06:14,
 CALUMET HS,CALUMET,CANADIAN COUNTY,730,98,2016-09-14 18:06:14,
 CALVIN HS,CALVIN,HUGHES COUNTY,745,49,2016-09-14 18:06:14,
 CAMERON HS,CAMERON,LE FLORE COUNTY,749,121,2016-09-14 18:06:14,
 CANADIAN HS,CANADIAN,PITTSBURG COUNTY,744,136,2016-09-14 18:06:14,
 CANEY HS,CANEY,ATOKA COUNTY,745,74,2016-09-14 18:06:14,
 CANTON HS,CANTON,BLAINE COUNTY,737,106,2016-09-14 18:06:14,
 CANUTE HS,CANUTE,WASHITA COUNTY,736,86,2016-09-14 18:06:14,
 CARNEGIE HS,CARNEGIE,CADDO COUNTY,730,160,2016-09-14 18:06:14,
 CARNEY HS,CARNEY,LINCOLN COUNTY,748,50,2016-09-14 18:06:14,
 CASHION HS,CASHION,KINGFISHER COUNTY,730,135,2016-09-14 18:06:14,
 CATOOSA HS,CATOOSA,ROGERS COUNTY,740,606,2016-09-14 18:06:14,
 CEMENT HS,CEMENT,CADDO COUNTY,730,86,2016-09-14 18:06:14,
 CHANDLER HS,CHANDLER,LINCOLN COUNTY,748,323,2016-09-14 18:06:14,
 CHATTANOOGA HS,CHATTANOOGA,COMANCHE COUNTY,735,102,2016-09-14 18:06:14,
 CHECOTAH HS,CHECOTAH,MCINTOSH COUNTY,744,439,2016-09-14 18:06:14,
 CHELSEA HS,CHELSEA,ROGERS COUNTY,740,278,2016-09-14 18:06:14,
 CHEROKEE HS,CHEROKEE,ALFALFA COUNTY,737,82,2016-09-14 18:06:14,
 CHEYENNE HS,CHEYENNE,ROGER MILLS COUNTY,736,81,2016-09-14 18:06:14,
 CHICKASHA HS,CHICKASHA,GRADY COUNTY,730,740,2016-09-14 18:06:14,
 CHOCTAW HS,CHOCTAW,OKLAHOMA COUNTY,730,1453,2016-09-14 18:06:14,
 CHOUTEAU-MAZIE HS,CHOUTEAU,MAYES COUNTY,743,223,2016-09-14 18:06:14,
 VERDIGRIS HS,CLAREMORE,ROGERS COUNTY,740,352,2016-09-14 18:06:14,
 SEQUOYAH HS,CLAREMORE,ROGERS COUNTY,740,469,2016-09-14 18:06:14,
 CLAREMORE HS,CLAREMORE,ROGERS COUNTY,740,1265,2016-09-14 18:06:14,
 CLAYTON HS,CLAYTON,PUSHMATAHA COUNTY,745,103,2016-09-14 18:06:14,
 CLEVELAND HS,CLEVELAND,PAWNEE COUNTY,740,513,2016-09-14 18:06:14,
 CLINTON HS,CLINTON,CUSTER COUNTY,736,537,2016-09-14 18:06:14,
 COALGATE HS,COALGATE,COAL COUNTY,745,260,2016-09-14 18:06:14,
 COLBERT HS,COLBERT,BRYAN COUNTY,747,216,2016-09-14 18:06:14,
