"flies","week","trt","cty"
75,16,"control","cherokee"
80,17,"control","cherokee"
85,18,"control","cherokee"
90,19,"control","cherokee"
85,20,"control","cherokee"
50,21,"control","cherokee"
75,22,"control","cherokee"
50,23,"control","cherokee"
40,24,"control","cherokee"
95,3,"control","cherokee"
100,4,"control","cherokee"
50,5,"control","cherokee"
78,6,"control","cherokee"
100,7,"control","cherokee"
35,8,"control","cherokee"
75,9,"control","cherokee"
45,10,"control","cherokee"
50,11,"control","cherokee"
25,12,"control","cherokee"
15,13,"control","cherokee"
95,14,"control","cherokee"
110,15,"control","cherokee"
100,16,"control","cherokee"
90,17,"control","cherokee"
110,18,"control","cherokee"
90,19,"control","cherokee"
100,20,"control","cherokee"
75,21,"control","cherokee"
50,22,"control","cherokee"
50,23,"control","cherokee"
45,24,"control","cherokee"
8,8,"warrior","cherokee"
3,9,"warrior","cherokee"
5,10,"warrior","cherokee"
3,11,"warrior","cherokee"
8,12,"warrior","cherokee"
6,13,"warrior","cherokee"
10,14,"warrior","cherokee"
15,15,"warrior","cherokee"
20,16,"warrior","cherokee"
45,17,"warrior","cherokee"
45,18,"warrior","cherokee"
75,19,"warrior","cherokee"
75,20,"warrior","cherokee"
100,21,"warrior","cherokee"
100,22,"warrior","cherokee"
125,23,"warrior","cherokee"
65,24,"warrior","cherokee"
10,8,"warrior","cherokee"
2,9,"warrior","cherokee"
6,10,"warrior","cherokee"
2,11,"warrior","cherokee"
7,12,"warrior","cherokee"
5,13,"warrior","cherokee"
12,14,"warrior","cherokee"
20,15,"warrior","cherokee"
25,16,"warrior","cherokee"
75,17,"warrior","cherokee"
70,18,"warrior","cherokee"
60,19,"warrior","cherokee"
25,20,"warrior","cherokee"
50,21,"warrior","cherokee"
125,22,"warrior","cherokee"
50,23,"warrior","cherokee"
60,24,"warrior","cherokee"
12,8,"warrior","cherokee"
1,9,"warrior","cherokee"
8,10,"warrior","cherokee"
4,11,"warrior","cherokee"
6,12,"warrior","cherokee"
4,13,"warrior","cherokee"
15,14,"warrior","cherokee"
25,15,"warrior","cherokee"
15,16,"warrior","cherokee"
100,17,"warrior","cherokee"
65,18,"warrior","cherokee"
70,19,"warrior","cherokee"
75,20,"warrior","cherokee"
100,21,"warrior","cherokee"
150,22,"warrior","cherokee"
80,23,"warrior","cherokee"
100,24,"warrior","cherokee"
8,8,"warrior","cherokee"
0,9,"warrior","cherokee"
7,10,"warrior","cherokee"
8,11,"warrior","cherokee"
5,12,"warrior","cherokee"
8,13,"warrior","cherokee"
10,14,"warrior","cherokee"
35,15,"warrior","cherokee"
20,16,"warrior","cherokee"
75,17,"warrior","cherokee"
100,18,"warrior","cherokee"
55,19,"warrior","cherokee"
50,20,"warrior","cherokee"
75,21,"warrior","cherokee"
175,22,"warrior","cherokee"
90,23,"warrior","cherokee"
100,24,"warrior","cherokee"
15,8,"warrior","cherokee"
0,9,"warrior","cherokee"
4,10,"warrior","cherokee"
7,11,"warrior","cherokee"
3,12,"warrior","cherokee"
4,13,"warrior","cherokee"
15,14,"warrior","cherokee"
30,15,"warrior","cherokee"
30,16,"warrior","cherokee"
50,17,"warrior","cherokee"
70,18,"warrior","cherokee"
100,19,"warrior","cherokee"
75,20,"warrior","cherokee"
100,21,"warrior","cherokee"
150,22,"warrior","cherokee"
75,23,"warrior","cherokee"
125,24,"warrior","cherokee"
25,8,"warrior","cherokee"
2,9,"warrior","cherokee"
5,10,"warrior","cherokee"
5,11,"warrior","cherokee"
8,12,"warrior","cherokee"
3,13,"warrior","cherokee"
20,14,"warrior","cherokee"
20,15,"warrior","cherokee"
35,16,"warrior","cherokee"
45,17,"warrior","cherokee"
55,18,"warrior","cherokee"
75,19,"warrior","cherokee"
100,20,"warrior","cherokee"
125,21,"warrior","cherokee"
125,22,"warrior","cherokee"
100,23,"warrior","cherokee"
90,24,"warrior","cherokee"
20,8,"warrior","cherokee"
1,9,"warrior","cherokee"
4,10,"warrior","cherokee"
6,11,"warrior","cherokee"
7,12,"warrior","cherokee"
5,13,"warrior","cherokee"
25,14,"warrior","cherokee"
25,15,"warrior","cherokee"
40,16,"warrior","cherokee"
30,17,"warrior","cherokee"
45,18,"warrior","cherokee"
60,19,"warrior","cherokee"
125,20,"warrior","cherokee"
150,21,"warrior","cherokee"
100,22,"warrior","cherokee"
85,23,"warrior","cherokee"
85,24,"warrior","cherokee"
15,8,"warrior","cherokee"
2,9,"warrior","cherokee"
3,10,"warrior","cherokee"
4,11,"warrior","cherokee"
6,12,"warrior","cherokee"
10,13,"warrior","cherokee"
30,14,"warrior","cherokee"
20,15,"warrior","cherokee"
30,16,"warrior","cherokee"
80,17,"warrior","cherokee"
75,18,"warrior","cherokee"
70,19,"warrior","cherokee"
100,20,"warrior","cherokee"
125,21,"warrior","cherokee"
125,22,"warrior","cherokee"
95,23,"warrior","cherokee"
90,24,"warrior","cherokee"
20,8,"warrior","cherokee"
3,9,"warrior","cherokee"
2,10,"warrior","cherokee"
3,11,"warrior","cherokee"
0,12,"warrior","cherokee"
8,13,"warrior","cherokee"
35,14,"warrior","cherokee"
30,15,"warrior","cherokee"
30,16,"warrior","cherokee"
100,17,"warrior","cherokee"
80,18,"warrior","cherokee"
65,19,"warrior","cherokee"
75,20,"warrior","cherokee"
100,21,"warrior","cherokee"
75,22,"warrior","cherokee"
105,23,"warrior","cherokee"
45,24,"warrior","cherokee"
10,8,"warrior","cherokee"
4,9,"warrior","cherokee"
0,10,"warrior","cherokee"
0,11,"warrior","cherokee"
7,12,"warrior","cherokee"
6,13,"warrior","cherokee"
20,14,"warrior","cherokee"
30,15,"warrior","cherokee"
25,16,"warrior","cherokee"
75,17,"warrior","cherokee"
60,18,"warrior","cherokee"
70,19,"warrior","cherokee"
50,20,"warrior","cherokee"
75,21,"warrior","cherokee"
125,22,"warrior","cherokee"
100,23,"warrior","cherokee"
65,24,"warrior","cherokee"
3,4,"python","cherokee"
0,5,"python","cherokee"
3,6,"python","cherokee"
4,7,"python","cherokee"
0,8,"python","cherokee"
3,9,"python","cherokee"
8,10,"python","cherokee"
12,11,"python","cherokee"
15,12,"python","cherokee"
30,13,"python","cherokee"
35,14,"python","cherokee"
25,15,"python","cherokee"
15,16,"python","cherokee"
125,17,"python","cherokee"
100,18,"python","cherokee"
75,19,"python","cherokee"
100,20,"python","cherokee"
75,21,"python","cherokee"
50,22,"python","cherokee"
70,23,"python","cherokee"
45,24,"python","cherokee"
5,4,"python","cherokee"
7,5,"python","cherokee"
8,6,"python","cherokee"
2,7,"python","cherokee"
2,8,"python","cherokee"
4,9,"python","cherokee"
6,10,"python","cherokee"
8,11,"python","cherokee"
10,12,"python","cherokee"
35,13,"python","cherokee"
35,14,"python","cherokee"
15,15,"python","cherokee"
20,16,"python","cherokee"
100,17,"python","cherokee"
125,18,"python","cherokee"
100,19,"python","cherokee"
125,20,"python","cherokee"
100,21,"python","cherokee"
75,22,"python","cherokee"
50,23,"python","cherokee"
40,24,"python","cherokee"
7,4,"python","cherokee"
3,5,"python","cherokee"
0,6,"python","cherokee"
2,7,"python","cherokee"
5,8,"python","cherokee"
10,9,"python","cherokee"
15,10,"python","cherokee"
15,11,"python","cherokee"
20,12,"python","cherokee"
25,13,"python","cherokee"
30,14,"python","cherokee"
20,15,"python","cherokee"
35,16,"python","cherokee"
50,17,"python","cherokee"
150,18,"python","cherokee"
125,19,"python","cherokee"
75,20,"python","cherokee"
50,21,"python","cherokee"
75,22,"python","cherokee"
50,23,"python","cherokee"
75,24,"python","cherokee"
10,4,"python","cherokee"
4,5,"python","cherokee"
1,6,"python","cherokee"
5,7,"python","cherokee"
6,8,"python","cherokee"
10,9,"python","cherokee"
12,10,"python","cherokee"
15,11,"python","cherokee"
25,12,"python","cherokee"
17,13,"python","cherokee"
20,14,"python","cherokee"
35,15,"python","cherokee"
20,16,"python","cherokee"
80,17,"python","cherokee"
100,18,"python","cherokee"
75,19,"python","cherokee"
100,20,"python","cherokee"
95,21,"python","cherokee"
90,22,"python","cherokee"
80,23,"python","cherokee"
85,24,"python","cherokee"
3,4,"python","cherokee"
7,5,"python","cherokee"
8,6,"python","cherokee"
14,7,"python","cherokee"
4,8,"python","cherokee"
10,9,"python","cherokee"
15,10,"python","cherokee"
12,11,"python","cherokee"
15,12,"python","cherokee"
25,13,"python","cherokee"
15,14,"python","cherokee"
40,15,"python","cherokee"
25,16,"python","cherokee"
75,17,"python","cherokee"
125,18,"python","cherokee"
80,19,"python","cherokee"
75,20,"python","cherokee"
80,21,"python","cherokee"
85,22,"python","cherokee"
90,23,"python","cherokee"
90,24,"python","cherokee"
4,4,"python","cherokee"
9,5,"python","cherokee"
10,6,"python","cherokee"
3,7,"python","cherokee"
3,8,"python","cherokee"
6,9,"python","cherokee"
7,10,"python","cherokee"
10,11,"python","cherokee"
10,12,"python","cherokee"
20,13,"python","cherokee"
25,14,"python","cherokee"
30,15,"python","cherokee"
30,16,"python","cherokee"
50,17,"python","cherokee"
75,18,"python","cherokee"
65,19,"python","cherokee"
150,20,"python","cherokee"
125,21,"python","cherokee"
100,22,"python","cherokee"
50,23,"python","cherokee"
45,24,"python","cherokee"
10,4,"python","cherokee"
14,5,"python","cherokee"
11,6,"python","cherokee"
3,7,"python","cherokee"
2,8,"python","cherokee"
2,9,"python","cherokee"
5,10,"python","cherokee"
7,11,"python","cherokee"
15,12,"python","cherokee"
35,13,"python","cherokee"
30,14,"python","cherokee"
25,15,"python","cherokee"
35,16,"python","cherokee"
75,17,"python","cherokee"
125,18,"python","cherokee"
70,19,"python","cherokee"
175,20,"python","cherokee"
150,21,"python","cherokee"
125,22,"python","cherokee"
100,23,"python","cherokee"
55,24,"python","cherokee"
7,4,"python","cherokee"
4,5,"python","cherokee"
5,6,"python","cherokee"
9,7,"python","cherokee"
0,8,"python","cherokee"
10,9,"python","cherokee"
15,10,"python","cherokee"
25,11,"python","cherokee"
20,12,"python","cherokee"
25,13,"python","cherokee"
35,14,"python","cherokee"
15,15,"python","cherokee"
40,16,"python","cherokee"
45,17,"python","cherokee"
100,18,"python","cherokee"
100,19,"python","cherokee"
100,20,"python","cherokee"
95,21,"python","cherokee"
90,22,"python","cherokee"
85,23,"python","cherokee"
80,24,"python","cherokee"
12,4,"python","cherokee"
7,5,"python","cherokee"
6,6,"python","cherokee"
3,7,"python","cherokee"
7,8,"python","cherokee"
10,9,"python","cherokee"
12,10,"python","cherokee"
20,11,"python","cherokee"
25,12,"python","cherokee"
30,13,"python","cherokee"
30,14,"python","cherokee"
20,15,"python","cherokee"
35,16,"python","cherokee"
75,17,"python","cherokee"
115,18,"python","cherokee"
115,19,"python","cherokee"
125,20,"python","cherokee"
110,21,"python","cherokee"
100,22,"python","cherokee"
95,23,"python","cherokee"
90,24,"python","cherokee"
14,4,"python","cherokee"
2,5,"python","cherokee"
1,6,"python","cherokee"
7,7,"python","cherokee"
9,8,"python","cherokee"
15,9,"python","cherokee"
20,10,"python","cherokee"
25,11,"python","cherokee"
30,12,"python","cherokee"
25,13,"python","cherokee"
30,14,"python","cherokee"
25,15,"python","cherokee"
4,16,"python","cherokee"
50,17,"python","cherokee"
110,18,"python","cherokee"
125,19,"python","cherokee"
75,20,"python","cherokee"
60,21,"python","cherokee"
50,22,"python","cherokee"
65,23,"python","cherokee"
45,24,"python","cherokee"
8,3,"xp820","cherokee"
0,4,"xp820","cherokee"
0,5,"xp820","cherokee"
1,6,"xp820","cherokee"
0,7,"xp820","cherokee"
0,8,"xp820","cherokee"
0,9,"xp820","cherokee"
1,10,"xp820","cherokee"
0,11,"xp820","cherokee"
0,12,"xp820","cherokee"
1,13,"xp820","cherokee"
1,14,"xp820","cherokee"
10,15,"xp820","cherokee"
12,16,"xp820","cherokee"
10,17,"xp820","cherokee"
8,18,"xp820","cherokee"
6,19,"xp820","cherokee"
4,20,"xp820","cherokee"
30,21,"xp820","cherokee"
45,22,"xp820","cherokee"
45,23,"xp820","cherokee"
50,24,"xp820","cherokee"
6,3,"xp820","cherokee"
1,4,"xp820","cherokee"
0,5,"xp820","cherokee"
2,6,"xp820","cherokee"
0,7,"xp820","cherokee"
0,8,"xp820","cherokee"
0,9,"xp820","cherokee"
2,10,"xp820","cherokee"
0,11,"xp820","cherokee"
1,12,"xp820","cherokee"
3,13,"xp820","cherokee"
2,14,"xp820","cherokee"
5,15,"xp820","cherokee"
20,16,"xp820","cherokee"
25,17,"xp820","cherokee"
20,18,"xp820","cherokee"
25,19,"xp820","cherokee"
25,20,"xp820","cherokee"
50,21,"xp820","cherokee"
65,22,"xp820","cherokee"
40,23,"xp820","cherokee"
45,24,"xp820","cherokee"
10,3,"xp820","cherokee"
2,4,"xp820","cherokee"
3,5,"xp820","cherokee"
0,6,"xp820","cherokee"
0,7,"xp820","cherokee"
0,8,"xp820","cherokee"
0,9,"xp820","cherokee"
3,10,"xp820","cherokee"
0,11,"xp820","cherokee"
2,12,"xp820","cherokee"
2,13,"xp820","cherokee"
0,14,"xp820","cherokee"
15,15,"xp820","cherokee"
15,16,"xp820","cherokee"
10,17,"xp820","cherokee"
15,18,"xp820","cherokee"
20,19,"xp820","cherokee"
15,20,"xp820","cherokee"
30,21,"xp820","cherokee"
50,22,"xp820","cherokee"
55,23,"xp820","cherokee"
65,24,"xp820","cherokee"
8,3,"xp820","cherokee"
0,4,"xp820","cherokee"
1,5,"xp820","cherokee"
0,6,"xp820","cherokee"
0,7,"xp820","cherokee"
1,8,"xp820","cherokee"
0,9,"xp820","cherokee"
0,10,"xp820","cherokee"
1,11,"xp820","cherokee"
3,12,"xp820","cherokee"
0,13,"xp820","cherokee"
20,14,"xp820","cherokee"
5,15,"xp820","cherokee"
10,16,"xp820","cherokee"
20,17,"xp820","cherokee"
30,18,"xp820","cherokee"
25,19,"xp820","cherokee"
40,20,"xp820","cherokee"
45,21,"xp820","cherokee"
50,22,"xp820","cherokee"
45,23,"xp820","cherokee"
70,24,"xp820","cherokee"
4,3,"xp820","cherokee"
1,4,"xp820","cherokee"
0,5,"xp820","cherokee"
0,6,"xp820","cherokee"
2,7,"xp820","cherokee"
3,8,"xp820","cherokee"
0,9,"xp820","cherokee"
0,10,"xp820","cherokee"
2,11,"xp820","cherokee"
0,12,"xp820","cherokee"
0,13,"xp820","cherokee"
15,14,"xp820","cherokee"
10,15,"xp820","cherokee"
5,16,"xp820","cherokee"
10,17,"xp820","cherokee"
15,18,"xp820","cherokee"
20,19,"xp820","cherokee"
30,20,"xp820","cherokee"
45,21,"xp820","cherokee"
65,22,"xp820","cherokee"
60,23,"xp820","cherokee"
75,24,"xp820","cherokee"
7,3,"xp820","cherokee"
3,4,"xp820","cherokee"
0,5,"xp820","cherokee"
0,6,"xp820","cherokee"
1,7,"xp820","cherokee"
0,8,"xp820","cherokee"
1,9,"xp820","cherokee"
0,10,"xp820","cherokee"
0,11,"xp820","cherokee"
1,12,"xp820","cherokee"
0,13,"xp820","cherokee"
10,14,"xp820","cherokee"
15,15,"xp820","cherokee"
0,16,"xp820","cherokee"
10,17,"xp820","cherokee"
20,18,"xp820","cherokee"
30,19,"xp820","cherokee"
35,20,"xp820","cherokee"
60,21,"xp820","cherokee"
70,22,"xp820","cherokee"
75,23,"xp820","cherokee"
60,24,"xp820","cherokee"
6,3,"xp820","cherokee"
0,4,"xp820","cherokee"
1,5,"xp820","cherokee"
0,6,"xp820","cherokee"
0,7,"xp820","cherokee"
0,8,"xp820","cherokee"
2,9,"xp820","cherokee"
0,10,"xp820","cherokee"
3,11,"xp820","cherokee"
2,12,"xp820","cherokee"
2,13,"xp820","cherokee"
5,14,"xp820","cherokee"
20,15,"xp820","cherokee"
2,16,"xp820","cherokee"
5,17,"xp820","cherokee"
10,18,"xp820","cherokee"
8,19,"xp820","cherokee"
15,20,"xp820","cherokee"
50,21,"xp820","cherokee"
45,22,"xp820","cherokee"
80,23,"xp820","cherokee"
70,24,"xp820","cherokee"
8,3,"xp820","cherokee"
2,4,"xp820","cherokee"
1,5,"xp820","cherokee"
1,6,"xp820","cherokee"
1,7,"xp820","cherokee"
2,8,"xp820","cherokee"
0,9,"xp820","cherokee"
1,10,"xp820","cherokee"
0,11,"xp820","cherokee"
2,12,"xp820","cherokee"
1,13,"xp820","cherokee"
15,14,"xp820","cherokee"
0,15,"xp820","cherokee"
0,16,"xp820","cherokee"
5,17,"xp820","cherokee"
10,18,"xp820","cherokee"
15,19,"xp820","cherokee"
20,20,"xp820","cherokee"
75,21,"xp820","cherokee"
35,22,"xp820","cherokee"
45,23,"xp820","cherokee"
35,24,"xp820","cherokee"
12,3,"xp820","cherokee"
1,4,"xp820","cherokee"
0,5,"xp820","cherokee"
3,6,"xp820","cherokee"
0,7,"xp820","cherokee"
1,8,"xp820","cherokee"
1,9,"xp820","cherokee"
2,10,"xp820","cherokee"
1,11,"xp820","cherokee"
0,12,"xp820","cherokee"
3,13,"xp820","cherokee"
5,14,"xp820","cherokee"
10,15,"xp820","cherokee"
4,16,"xp820","cherokee"
10,17,"xp820","cherokee"
15,18,"xp820","cherokee"
20,19,"xp820","cherokee"
25,20,"xp820","cherokee"
80,21,"xp820","cherokee"
70,22,"xp820","cherokee"
60,23,"xp820","cherokee"
40,24,"xp820","cherokee"
6,3,"xp820","cherokee"
0,4,"xp820","cherokee"
1,5,"xp820","cherokee"
0,6,"xp820","cherokee"
0,7,"xp820","cherokee"
0,8,"xp820","cherokee"
2,9,"xp820","cherokee"
0,10,"xp820","cherokee"
2,11,"xp820","cherokee"
1,12,"xp820","cherokee"
0,13,"xp820","cherokee"
0,14,"xp820","cherokee"
5,15,"xp820","cherokee"
5,16,"xp820","cherokee"
10,17,"xp820","cherokee"
5,18,"xp820","cherokee"
10,19,"xp820","cherokee"
15,20,"xp820","cherokee"
15,21,"xp820","cherokee"
90,22,"xp820","cherokee"
50,23,"xp820","cherokee"
25,24,"xp820","cherokee"
75,4,"control","ellis"
250,5,"control","ellis"
400,6,"control","ellis"
375,7,"control","ellis"
350,8,"control","ellis"
400,9,"control","ellis"
400,10,"control","ellis"
300,11,"control","ellis"
400,12,"control","ellis"
325,13,"control","ellis"
450,14,"control","ellis"
375,15,"control","ellis"
300,16,"control","ellis"
350,17,"control","ellis"
500,18,"control","ellis"
450,19,"control","ellis"
200,20,"control","ellis"
350,21,"control","ellis"
200,22,"control","ellis"
300,23,"control","ellis"
285,24,"control","ellis"
150,4,"control","ellis"
275,5,"control","ellis"
400,6,"control","ellis"
450,7,"control","ellis"
400,8,"control","ellis"
500,9,"control","ellis"
350,10,"control","ellis"
250,11,"control","ellis"
200,12,"control","ellis"
300,13,"control","ellis"
450,14,"control","ellis"
400,15,"control","ellis"
375,16,"control","ellis"
400,17,"control","ellis"
450,18,"control","ellis"
370,19,"control","ellis"
275,20,"control","ellis"
350,21,"control","ellis"
250,22,"control","ellis"
300,23,"control","ellis"
300,24,"control","ellis"
80,4,"control","ellis"
300,5,"control","ellis"
350,6,"control","ellis"
375,7,"control","ellis"
390,8,"control","ellis"
400,9,"control","ellis"
375,10,"control","ellis"
300,11,"control","ellis"
350,12,"control","ellis"
450,13,"control","ellis"
450,14,"control","ellis"
375,15,"control","ellis"
300,16,"control","ellis"
420,17,"control","ellis"
450,18,"control","ellis"
475,19,"control","ellis"
300,20,"control","ellis"
400,21,"control","ellis"
225,22,"control","ellis"
250,23,"control","ellis"
325,24,"control","ellis"
200,4,"control","ellis"
240,5,"control","ellis"
400,6,"control","ellis"
410,7,"control","ellis"
375,8,"control","ellis"
350,9,"control","ellis"
400,10,"control","ellis"
300,11,"control","ellis"
350,12,"control","ellis"
500,13,"control","ellis"
400,14,"control","ellis"
450,15,"control","ellis"
275,16,"control","ellis"
425,17,"control","ellis"
475,18,"control","ellis"
350,19,"control","ellis"
225,20,"control","ellis"
350,21,"control","ellis"
300,22,"control","ellis"
350,23,"control","ellis"
90,24,"control","ellis"
175,4,"control","ellis"
265,5,"control","ellis"
450,6,"control","ellis"
600,7,"control","ellis"
410,8,"control","ellis"
400,9,"control","ellis"
350,10,"control","ellis"
275,11,"control","ellis"
275,12,"control","ellis"
400,13,"control","ellis"
475,14,"control","ellis"
400,15,"control","ellis"
350,16,"control","ellis"
375,17,"control","ellis"
500,18,"control","ellis"
425,19,"control","ellis"
300,20,"control","ellis"
375,21,"control","ellis"
180,22,"control","ellis"
200,23,"control","ellis"
150,24,"control","ellis"
175,4,"control","ellis"
220,5,"control","ellis"
375,6,"control","ellis"
450,7,"control","ellis"
470,8,"control","ellis"
375,9,"control","ellis"
400,10,"control","ellis"
325,11,"control","ellis"
300,12,"control","ellis"
450,13,"control","ellis"
450,14,"control","ellis"
375,15,"control","ellis"
350,16,"control","ellis"
400,17,"control","ellis"
520,18,"control","ellis"
400,19,"control","ellis"
300,20,"control","ellis"
400,21,"control","ellis"
250,22,"control","ellis"
250,23,"control","ellis"
350,24,"control","ellis"
210,4,"control","ellis"
310,5,"control","ellis"
450,6,"control","ellis"
375,7,"control","ellis"
455,8,"control","ellis"
400,9,"control","ellis"
275,10,"control","ellis"
300,11,"control","ellis"
420,12,"control","ellis"
375,13,"control","ellis"
450,14,"control","ellis"
400,15,"control","ellis"
375,16,"control","ellis"
350,17,"control","ellis"
450,18,"control","ellis"
275,19,"control","ellis"
275,20,"control","ellis"
350,21,"control","ellis"
300,22,"control","ellis"
300,23,"control","ellis"
190,24,"control","ellis"
100,4,"control","ellis"
275,5,"control","ellis"
400,6,"control","ellis"
450,7,"control","ellis"
600,8,"control","ellis"
350,9,"control","ellis"
350,10,"control","ellis"
350,11,"control","ellis"
400,12,"control","ellis"
400,13,"control","ellis"
475,14,"control","ellis"
375,15,"control","ellis"
400,16,"control","ellis"
450,17,"control","ellis"
500,18,"control","ellis"
400,19,"control","ellis"
250,20,"control","ellis"
350,21,"control","ellis"
325,22,"control","ellis"
300,23,"control","ellis"
250,24,"control","ellis"
140,4,"control","ellis"
250,5,"control","ellis"
375,6,"control","ellis"
450,7,"control","ellis"
450,8,"control","ellis"
400,9,"control","ellis"
350,10,"control","ellis"
350,11,"control","ellis"
275,12,"control","ellis"
400,13,"control","ellis"
500,14,"control","ellis"
400,15,"control","ellis"
300,16,"control","ellis"
275,17,"control","ellis"
475,18,"control","ellis"
450,19,"control","ellis"
300,20,"control","ellis"
350,21,"control","ellis"
250,22,"control","ellis"
250,23,"control","ellis"
275,24,"control","ellis"
200,4,"control","ellis"
225,5,"control","ellis"
400,6,"control","ellis"
475,7,"control","ellis"
395,8,"control","ellis"
450,9,"control","ellis"
350,10,"control","ellis"
275,11,"control","ellis"
350,12,"control","ellis"
450,13,"control","ellis"
525,14,"control","ellis"
450,15,"control","ellis"
350,16,"control","ellis"
300,17,"control","ellis"
500,18,"control","ellis"
450,19,"control","ellis"
350,20,"control","ellis"
400,21,"control","ellis"
225,22,"control","ellis"
300,23,"control","ellis"
300,24,"control","ellis"
15,4,"gardstar","ellis"
3,5,"gardstar","ellis"
10,6,"gardstar","ellis"
20,7,"gardstar","ellis"
75,8,"gardstar","ellis"
60,9,"gardstar","ellis"
10,10,"gardstar","ellis"
45,11,"gardstar","ellis"
15,12,"gardstar","ellis"
125,13,"gardstar","ellis"
300,14,"gardstar","ellis"
275,15,"gardstar","ellis"
200,16,"gardstar","ellis"
225,17,"gardstar","ellis"
285,18,"gardstar","ellis"
300,19,"gardstar","ellis"
400,20,"gardstar","ellis"
250,21,"gardstar","ellis"
300,22,"gardstar","ellis"
200,23,"gardstar","ellis"
15,24,"gardstar","ellis"
0,4,"gardstar","ellis"
7,5,"gardstar","ellis"
2,6,"gardstar","ellis"
10,7,"gardstar","ellis"
125,8,"gardstar","ellis"
50,9,"gardstar","ellis"
15,10,"gardstar","ellis"
90,11,"gardstar","ellis"
40,12,"gardstar","ellis"
120,13,"gardstar","ellis"
350,14,"gardstar","ellis"
350,15,"gardstar","ellis"
185,16,"gardstar","ellis"
200,17,"gardstar","ellis"
250,18,"gardstar","ellis"
250,19,"gardstar","ellis"
275,20,"gardstar","ellis"
300,21,"gardstar","ellis"
325,22,"gardstar","ellis"
150,23,"gardstar","ellis"
60,24,"gardstar","ellis"
6,4,"gardstar","ellis"
15,5,"gardstar","ellis"
1,6,"gardstar","ellis"
15,7,"gardstar","ellis"
80,8,"gardstar","ellis"
55,9,"gardstar","ellis"
10,10,"gardstar","ellis"
75,11,"gardstar","ellis"
70,12,"gardstar","ellis"
130,13,"gardstar","ellis"
275,14,"gardstar","ellis"
325,15,"gardstar","ellis"
200,16,"gardstar","ellis"
225,17,"gardstar","ellis"
300,18,"gardstar","ellis"
275,19,"gardstar","ellis"
200,20,"gardstar","ellis"
300,21,"gardstar","ellis"
300,22,"gardstar","ellis"
200,23,"gardstar","ellis"
35,24,"gardstar","ellis"
15,4,"gardstar","ellis"
0,5,"gardstar","ellis"
2,6,"gardstar","ellis"
40,7,"gardstar","ellis"
200,8,"gardstar","ellis"
30,9,"gardstar","ellis"
60,10,"gardstar","ellis"
80,11,"gardstar","ellis"
90,12,"gardstar","ellis"
125,13,"gardstar","ellis"
300,14,"gardstar","ellis"
380,15,"gardstar","ellis"
200,16,"gardstar","ellis"
300,17,"gardstar","ellis"
290,18,"gardstar","ellis"
350,19,"gardstar","ellis"
300,20,"gardstar","ellis"
350,21,"gardstar","ellis"
350,22,"gardstar","ellis"
275,23,"gardstar","ellis"
80,24,"gardstar","ellis"
10,4,"gardstar","ellis"
2,5,"gardstar","ellis"
5,6,"gardstar","ellis"
20,7,"gardstar","ellis"
140,8,"gardstar","ellis"
10,9,"gardstar","ellis"
75,10,"gardstar","ellis"
110,11,"gardstar","ellis"
15,12,"gardstar","ellis"
150,13,"gardstar","ellis"
325,14,"gardstar","ellis"
350,15,"gardstar","ellis"
200,16,"gardstar","ellis"
175,17,"gardstar","ellis"
350,18,"gardstar","ellis"
200,19,"gardstar","ellis"
250,20,"gardstar","ellis"
400,21,"gardstar","ellis"
350,22,"gardstar","ellis"
100,23,"gardstar","ellis"
45,24,"gardstar","ellis"
14,4,"gardstar","ellis"
6,5,"gardstar","ellis"
10,6,"gardstar","ellis"
30,7,"gardstar","ellis"
150,8,"gardstar","ellis"
45,9,"gardstar","ellis"
15,10,"gardstar","ellis"
130,11,"gardstar","ellis"
35,12,"gardstar","ellis"
120,13,"gardstar","ellis"
380,14,"gardstar","ellis"
360,15,"gardstar","ellis"
220,16,"gardstar","ellis"
250,17,"gardstar","ellis"
300,18,"gardstar","ellis"
150,19,"gardstar","ellis"
300,20,"gardstar","ellis"
275,21,"gardstar","ellis"
375,22,"gardstar","ellis"
150,23,"gardstar","ellis"
25,24,"gardstar","ellis"
12,4,"gardstar","ellis"
0,5,"gardstar","ellis"
0,6,"gardstar","ellis"
12,7,"gardstar","ellis"
145,8,"gardstar","ellis"
75,9,"gardstar","ellis"
30,10,"gardstar","ellis"
25,11,"gardstar","ellis"
65,12,"gardstar","ellis"
115,13,"gardstar","ellis"
350,14,"gardstar","ellis"
300,15,"gardstar","ellis"
225,16,"gardstar","ellis"
200,17,"gardstar","ellis"
350,18,"gardstar","ellis"
250,19,"gardstar","ellis"
375,20,"gardstar","ellis"
350,21,"gardstar","ellis"
250,22,"gardstar","ellis"
275,23,"gardstar","ellis"
110,24,"gardstar","ellis"
30,4,"gardstar","ellis"
0,5,"gardstar","ellis"
10,6,"gardstar","ellis"
15,7,"gardstar","ellis"
75,8,"gardstar","ellis"
60,9,"gardstar","ellis"
90,10,"gardstar","ellis"
65,11,"gardstar","ellis"
40,12,"gardstar","ellis"
180,13,"gardstar","ellis"
300,14,"gardstar","ellis"
325,15,"gardstar","ellis"
150,16,"gardstar","ellis"
100,17,"gardstar","ellis"
250,18,"gardstar","ellis"
370,19,"gardstar","ellis"
375,20,"gardstar","ellis"
350,21,"gardstar","ellis"
