School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
ARBOR GROVE ES,WARR ACRES,WARR ACRES,OKLAHOMA COUNTY,30,,,,,,,,108,323,,14.37
ARDMORE HS,ARDMORE,ARDMORE,CARTER COUNTY,41.5,,,193,198,209,180,,,,780,18.8
ARDMORE MS,ARDMORE,ARDMORE,CARTER COUNTY,39.7,195,198,,,,,,,614,,15.47
ARKOMA HS,ARKOMA,ARKOMA,LE FLORE COUNTY,7,,,23,26,16,19,,,,84,12
ARNETT ES,ARNETT,ARNETT,ELLIS COUNTY,9.9,13,11,,,,,,25,88,,11.41
ARNETT HS,ARNETT,ARNETT,ELLIS COUNTY,8.5,,,18,16,18,12,,,,64,7.53
ARROW SPRINGS ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,22.5,,,,,,,,88,289,,16.76
ARROWHEAD ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,27,,,,,,,,68,364,,16
ART GOAD INTERMEDIATE ES,CHELSEA,CHELSEA,ROGERS COUNTY,13.8,,,,,,,,,224,,16.23
ARTHUR ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.9,,,,,,,,142,403,,18.86
ASHER ES,ASHER,ASHER,POTTAWATOMIE COUNTY,12.4,19,20,,,,,,19,161,,14.52
ASHER HS,ASHER,ASHER,POTTAWATOMIE COUNTY,7.4,,,15,21,23,10,,,,69,9.32
ASTEC CHARTER HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,19.4,,,158,160,119,142,,,,579,29.85
ASTEC CHARTER MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18.3,127,112,,,,,,,361,,19.73
ATOKA ES,ATOKA,ATOKA,ATOKA COUNTY,27.8,,,,,,,,127,307,,15.61
ATOKA HS,ATOKA,ATOKA,ATOKA COUNTY,26.2,,,72,82,87,95,,,,336,12.82
ATOR ES,OWASSO,OWASSO,TULSA COUNTY,30.4,,,,,,,,96,459,,18.26
AVANT PUBLIC SCHOOL,AVANT,AVANT,OSAGE COUNTY,6.7,9,6,,,,,,15,65,,11.94
BALKO ES,BALKO,BALKO,BEAVER COUNTY,9.6,5,8,,,,,,29,76,,10.94
BALKO HS,BALKO,BALKO,BEAVER COUNTY,5.9,,,13,10,11,12,,,,46,7.8
BANNER PUBLIC SCHOOL,EL RENO,EL RENO,CANADIAN COUNTY,12.8,12,16,,,,,,39,156,,15.23
BARNARD ES,TECUMSEH,TECUMSEH,POTTAWATOMIE COUNTY,20,,,,,,,6,,317,,16.15
BARNARD ES,TULSA,TULSA,TULSA COUNTY,17.7,,,,,,,,83,204,,16.21
BARNES ES,OWASSO,OWASSO,TULSA COUNTY,33,,,,,,,,94,478,,17.33
BARNES ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,21.7,,,,,,,,105,283,,17.88
BARNSDALL ES,BARNSDALL,BARNSDALL,OSAGE COUNTY,18,,,,,,,,41,213,,14.11
BARNSDALL HS,BARNSDALL,BARNSDALL,OSAGE COUNTY,10,,,,32,27,33,,,,92,9.2
BARNSDALL JHS,BARNSDALL,BARNSDALL,OSAGE COUNTY,6.7,39,20,37,,,,,,59,37,14.33
BARTLESVILLE HS,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,49.3,,,,,399,427,,,,826,16.75
BARTLESVILLE MHS,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,53,,,459,463,,,,,,922,17.4
