School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
CASHION HS,CASHION,CASHION,KINGFISHER COUNTY,12.1,,,37,36,27,35,,,,135,11.16
CATOOSA HS,CATOOSA,CATOOSA,ROGERS COUNTY,45.9,,,177,145,140,144,3,,,606,13.27
CAVE SPRINGS ES,BUNCH,BUNCH,ADAIR COUNTY,6.3,6,5,,,,,,13,57,,11.11
CAVE SPRINGS HS,BUNCH,BUNCH,ADAIR COUNTY,5.1,,,20,23,26,23,,,,92,18.04
CEDAR HEIGHTS ES,WOODWARD,WOODWARD,WOODWARD COUNTY,17.3,,,,,,,,,265,,15.32
CEDAR RIDGE ES,TULSA,TULSA,TULSA COUNTY,31.7,,,,,,,,141,410,,17.38
CELIA CLINTON ES,TULSA,TULSA,TULSA COUNTY,25.2,,,,,,,,118,339,,18.13
CEMENT ES,CEMENT,CEMENT,CADDO COUNTY,10.6,20,19,,,,,,35,142,,16.7
CEMENT HS,CEMENT,CEMENT,CADDO COUNTY,5.6,,,15,30,17,24,,,,86,15.36
CENTENNIAL ES,EDMOND,EDMOND,OKLAHOMA COUNTY,36.5,,,,,,,,167,549,,19.62
CENTENNIAL MS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,47.4,297,315,,,,,,,938,,19.79
CENTRAL 9TH GRADE CTR,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,23.1,,,442,,,,,,,442,19.13
CENTRAL ES,BIXBY,BIXBY,TULSA COUNTY,47.4,,,,,,,,285,661,,19.96
CENTRAL ES,OKLAHOMA CITY,WARR ACRES,OKLAHOMA COUNTY,39.2,,,,,,,,268,434,,17.91
CENTRAL ES,COWETA,COWETA,WAGONER COUNTY,19,,,,,,,,115,204,,16.79
CENTRAL ES,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,28.1,,,,,,,,144,301,,15.84
CENTRAL ES,SALLISAW,SALLISAW,SEQUOYAH COUNTY,24.1,28,39,,,,,,95,273,,15.27
CENTRAL ES,YUKON,YUKON,CANADIAN COUNTY,26.5,,,,,,,,178,327,,19.06
CENTRAL ES,MOORE,MOORE,CLEVELAND COUNTY,30.9,,,,,,,,122,436,,18.06
CENTRAL ES,GUTHRIE,GUTHRIE,LOGAN COUNTY,14,,,,,,,1,,252,,18.07
CENTRAL ES,WYNNEWOOD,WYNNEWOOD,GARVIN COUNTY,15.7,,,,,,,,111,187,,18.98
CENTRAL ES,IDABEL,IDABEL,MCCURTAIN COUNTY,18.1,,,,,,,,,269,,14.86
CENTRAL HIGH ES,MARLOW,MARLOW,STEPHENS COUNTY,17.3,41,35,,,,,,54,239,,16.94
CENTRAL HIGH HS,MARLOW,MARLOW,STEPHENS COUNTY,7.5,,,31,50,24,21,,,,126,16.8
CENTRAL HS,SALLISAW,SALLISAW,SEQUOYAH COUNTY,13.9,,,43,45,48,30,1,,,166,12.01
CENTRAL HS,TULSA,TULSA,OSAGE COUNTY,46.5,,,250,197,165,96,,,,708,15.23
CENTRAL INTERMEDIATE ES,WAGONER,WAGONER,WAGONER COUNTY,27.5,,,,,,,,,373,,13.56
CENTRAL JHS,GUYMON,GUYMON,TEXAS COUNTY,28.4,208,198,,,,,,,406,,14.3
CENTRAL JHS,MOORE,MOORE,CLEVELAND COUNTY,36.9,278,275,,,,,,,553,,14.99
CENTRAL MS,EDMOND,EDMOND,OKLAHOMA COUNTY,51.3,246,264,,,,,1,,811,,15.83
CENTRAL MS,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,42.6,194,211,,,,,,,588,,13.8
CENTRAL MS,LAWTON,LAWTON,COMANCHE COUNTY,73.7,255,247,,,,,7,,750,,10.27
CENTRAL OAK ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,33.2,,,,,,,,168,427,,17.92
CENTRAL UPPER ES,CLAREMORE,CLAREMORE,ROGERS COUNTY,20.7,,,,,,,,,291,,14.06
CHAMBERLAIN MS,FAIRVIEW,FAIRVIEW,MAJOR COUNTY,12.2,30,43,,,,,,,122,,10
CHANDLER HS,CHANDLER,CHANDLER,LINCOLN COUNTY,22.9,,,79,81,94,69,,,,323,14.1
CHANDLER JHS,CHANDLER,CHANDLER,LINCOLN COUNTY,12.3,81,81,,,,,,,162,,13.17
CHARLES EVANS ES,ARDMORE,ARDMORE,CARTER COUNTY,38.9,,,,,,,,,651,,16.74
CHARLES HASKELL ES,EDMOND,EDMOND,OKLAHOMA COUNTY,46.3,,,,,,,,228,691,,19.85
CHARLES PAGE HS,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,69.5,,,,417,381,399,23,,,1197,17.55
CHATTANOOGA ES,CHATTANOOGA,CHATTANOOGA,COMANCHE COUNTY,11.9,21,24,,,,,,31,138,,14.2
CHATTANOOGA HS,CHATTANOOGA,CHATTANOOGA,COMANCHE COUNTY,7.4,,,27,28,28,19,,,,102,13.78
CHECOTAH HS,CHECOTAH,CHECOTAH,MCINTOSH COUNTY,31,,,133,112,105,89,,,,439,14.16
CHECOTAH INTERMEDIATE ES,CHECOTAH,CHECOTAH,MCINTOSH COUNTY,20.6,,,,,,,,,337,,16.36
CHECOTAH MS,CHECOTAH,CHECOTAH,MCINTOSH COUNTY,20.9,107,104,,,,,6,,324,,15.79
CHELSEA HS,CHELSEA,CHELSEA,ROGERS COUNTY,19.1,,,68,74,69,67,,,,278,14.55
CHELSEA JHS,CHELSEA,CHELSEA,ROGERS COUNTY,11.2,88,84,,,,,,,172,,15.36
CHEROKEE ES,CATOOSA,CATOOSA,ROGERS COUNTY,21.3,,,,,,,,,304,,14.27
CHEROKEE ES,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,34.8,,,,,,,,201,365,,16.26
CHEROKEE ES,TULSA,TULSA,TULSA COUNTY,15.3,,,,,,,,56,163,,14.31
CHEROKEE ES,CHEROKEE,CHEROKEE,ALFALFA COUNTY,12.9,16,20,,,,,,40,155,,15.12
CHEROKEE ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,19,,,,,,,2,49,259,,16.32
CHEROKEE HS,CHEROKEE,CHEROKEE,ALFALFA COUNTY,7.8,,,17,17,21,27,,,,82,10.51
CHEYENNE ES,CHEYENNE,CHEYENNE,ROGER MILLS COUNTY,20.2,13,25,,,,,,58,171,,11.34
CHEYENNE HS,CHEYENNE,CHEYENNE,ROGER MILLS COUNTY,9.4,,,26,17,16,22,,,,81,8.62
CHEYENNE MS,EDMOND,EDMOND,OKLAHOMA COUNTY,53.6,281,320,,,,,,,920,,17.16
CHICKASHA HS,CHICKASHA,CHICKASHA,GRADY COUNTY,49.2,,,199,197,178,166,22,,,740,15.49
CHICKASHA MS,CHICKASHA,CHICKASHA,GRADY COUNTY,22.3,169,155,,,,,2,,324,,14.62
CHILDERS MS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,36,179,189,,,,,,,566,,15.72
CHILDREN'S CTR,BETHANY,BETHANY,OKLAHOMA COUNTY,2.3,6,7,,,,,,25,39,,27.83
CHISHOLM ES,EDMOND,EDMOND,OKLAHOMA COUNTY,36,,,,,,,,158,514,,18.67
CHISHOLM ES,NORTH ENID,ENID,GARFIELD COUNTY,25,,,,,,,,112,341,,18.12
CHISHOLM HS,ENID,ENID,GARFIELD COUNTY,19.9,,,74,54,59,58,,,,245,12.31
CHISHOLM MS,ENID,ENID,GARFIELD COUNTY,14.4,72,77,,,,,,,220,,15.28
CHOCTAW ES,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,28.5,,,,,,,4,104,289,,13.93
CHOCTAW HS,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,83.5,,,358,392,374,329,,,,1453,17.4
CHOCTAW MS,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,40.5,188,209,,,,,1,,605,,14.96
CHOUTEAU ES,TULSA,TULSA,TULSA COUNTY,18.5,,,,,,,,78,204,,15.24
CHOUTEAU ES,CHOUTEAU,CHOUTEAU,MAYES COUNTY,11.7,,,,,,,1,,159,,13.68
CHOUTEAU-MAZIE EC CTR,CHOUTEAU,CHOUTEAU,MAYES COUNTY,14.8,,,,,,,,130,123,,17.09
CHOUTEAU-MAZIE HS,CHOUTEAU,CHOUTEAU,MAYES COUNTY,19.8,,,61,58,57,47,,,,223,11.26
CHOUTEAU-MAZIE MS,CHUOTEAU,CHOUTEAU,MAYES COUNTY,13.7,44,59,,,,,2,,174,,12.85
CIMARRON ES,LAHOMA,LAHOMA,GARFIELD COUNTY,11.1,20,21,,,,,,38,159,,17.75
CIMARRON HS,LAHOMA,LAHOMA,GARFIELD COUNTY,11.1,,,22,17,22,22,,,,83,7.48
CIMARRON MS,EDMOND,EDMOND,OKLAHOMA COUNTY,46.2,272,254,,,,,,,818,,17.71
CLARA REYNOLDS ES,HARRAH,HARRAH,OKLAHOMA COUNTY,22.8,,,,,,,,,335,,14.69
CLAREMONT ES,CLAREMORE,CLAREMORE,ROGERS COUNTY,33.6,,,,,,,,210,424,,18.87
CLAREMORE HS,CLAREMORE,CLAREMORE,ROGERS COUNTY,80.8,,,328,358,280,299,1,,,1265,15.67
CLARK ES,TULSA,TULSA,TULSA COUNTY,38,,,,,,,,155,448,,15.87
CLASSEN HS OF ADVANCED STUDIES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,37.5,,,144,153,122,128,,,,547,14.59
CLASSEN MS OF ADVANCED STUDIES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18,149,139,,,,,,,410,,22.78
CLAYTON HS,CLAYTON,CLAYTON,PUSHMATAHA COUNTY,9.6,,,26,33,24,20,,,,103,10.73
CLEGERN ES,EDMOND,EDMOND,OKLAHOMA COUNTY,17.4,,,,,,,,157,230,,22.24
CLEORA PUBLIC SCHOOL,AFTON,AFTON,DELAWARE COUNTY,11.1,11,12,,,,,,10,105,,10.36
CLEVELAND BAILEY ES,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,19.8,,,,,,,,92,256,,17.58
CLEVELAND ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18.3,,,,,,,,129,245,,20.44
CLEVELAND ES,NORMAN,NORMAN,CLEVELAND COUNTY,31.7,,,,,,,,135,390,,16.56
CLEVELAND ES,LAWTON,LAWTON,COMANCHE COUNTY,17.7,,,,,,,,50,195,,13.84
CLEVELAND HS,CLEVELAND,CLEVELAND,PAWNEE COUNTY,34.9,,,127,147,139,100,2,,,513,14.76
CLEVELAND INTERMEDIATE ES,CLEVELAND,CLEVELAND,PAWNEE COUNTY,22.1,,,,,,,,,361,,16.33
CLEVELAND MS,CLEVELAND,CLEVELAND,PAWNEE COUNTY,26.8,140,142,,,,,,,419,,15.63
CLEVELAND MS,TULSA,TULSA,TULSA COUNTY,25.3,123,113,,,,,,,371,,14.66
CLEVELAND PRIMARY ES,CLEVELAND,CLEVELAND,PAWNEE COUNTY,28.8,,,,,,,,239,256,,17.19
CLINTON HS,CLINTON,CLINTON,CUSTER COUNTY,36.2,,,136,152,138,111,,,,537,14.83
CLINTON MS,CLINTON,CLINTON,CUSTER COUNTY,20.1,141,120,,,,,7,,261,,13.33
CLINTON MS,TULSA,TULSA,TULSA COUNTY,32.6,170,148,,,,,,,497,,15.25
CLYDE BOYD MS,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,66.7,413,360,,,,,,,1153,,17.29
COALGATE HS,COALGATE,COALGATE,COAL COUNTY,19.7,,,67,73,57,63,2,,,260,13.3
COLBERT HS,COLBERT,COLBERT,BRYAN COUNTY,18.1,,,67,46,45,58,,,,216,11.93
COLBERT MS,COLBERT,COLBERT,BRYAN COUNTY,9.4,66,49,,,,,,,115,,12.23
COLCORD ES,COLCORD,COLCORD,DELAWARE COUNTY,25.4,39,38,,,,,,61,296,,14.06
COLCORD HS,COLCORD,COLCORD,DELAWARE COUNTY,20.8,,,67,55,57,59,1,,,238,11.49
COLEMAN ES,COLEMAN,COLEMAN,JOHNSTON COUNTY,10.9,15,14,,,,,,18,108,,11.56
COLEMAN HS,COLEMAN,COLEMAN,JOHNSTON COUNTY,4.6,,,17,19,21,10,,,,67,14.57
COLLINS ES,BRISTOW,BRISTOW,CREEK COUNTY,23,,,,,,,,,383,,16.65
COLLINSVILLE EC CTR,COLLINSVILLE,COLLINSVILLE,TULSA COUNTY,16.9,,,,,,,,392,,,23.2
COLLINSVILLE HS,COLLINSVILLE,COLLINSVILLE,TULSA COUNTY,42,,,176,182,169,184,,,,711,16.93
COLLINSVILLE MS,COLLINSVILLE,COLLINSVILLE,TULSA COUNTY,32.8,180,190,,,,,,,556,,16.95
COLUMBUS ES,TULSA,TULSA,TULSA COUNTY,24.6,,,,,,,,109,281,,15.85
COLUMBUS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,36.9,,,,,,,,189,475,,17.99
COMANCHE ES,COMANCHE,COMANCHE,STEPHENS COUNTY,29.6,,,,,,,,147,405,,18.65
COMANCHE HS,COMANCHE,COMANCHE,STEPHENS COUNTY,25.4,,,97,68,71,63,,,,299,11.77
COMANCHE MS,COMANCHE,COMANCHE,STEPHENS COUNTY,17.5,79,85,,,,,,,246,,14.06
COMMERCE HS,COMMERCE,COMMERCE,OTTAWA COUNTY,14.8,,,64,44,51,55,,,,214,14.46
COMMERCE MS,COMMERCE,COMMERCE,OTTAWA COUNTY,13.5,72,64,,,,,,,209,,15.48
COOLIDGE ES,ENID,ENID,GARFIELD COUNTY,30.6,,,,,,,,153,363,,16.86
COOLIDGE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,40.6,,,,,,,2,202,533,,18.15
COOPER ES,TULSA,TULSA,TULSA COUNTY,48,,,,,,,,172,533,,14.69
COOPER MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,49.3,260,238,,,,,,,765,,15.52
COPAN ES,COPAN,COPAN,WASHINGTON COUNTY,11.6,16,13,,,,,,41,118,,13.71
COPAN HS,COPAN,COPAN,WASHINGTON COUNTY,6.6,,,19,17,24,32,,,,92,13.94
CORDELL ES,CORDELL,CORDELL,WASHITA COUNTY,28.6,,,,,,,,94,369,,16.19
CORDELL HS,CORDELL,CORDELL,WASHITA COUNTY,15.4,,,,37,48,53,,,,138,8.96
CORDELL JHS,CORDELL,CORDELL,WASHITA COUNTY,9,67,55,40,,,,,,122,40,18
CORNELSEN ES,FAIRVIEW,FAIRVIEW,MAJOR COUNTY,20.4,,,,,,,,96,237,,16.32
CORONADO HEIGHTS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,31,,,,,,,,111,388,,16.1
COTTERAL ES,GUTHRIE,GUTHRIE,LOGAN COUNTY,20.9,,,,,,,,446,,,21.34
COTTONWOOD PUBLIC SCHOOL,COALGATE,COALGATE,COAL COUNTY,20.9,18,18,,,,,,62,186,,11.87
COUNCIL GROVE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,33.5,,,,,,,,140,286,,12.72
COUNTRY CLUB HEIGHTS ES,LAWTON,LAWTON,COMANCHE COUNTY,15.9,,,,,,,,40,139,,11.26
COUNTRY ESTATES ES,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,24,,,,,,,,107,283,,16.25
COUNTRY LANE 4TH/5TH GRADE CTR,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,36,,,,,,,,,672,,18.67
COUNTRY LANE ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,42.9,,,,,,,,320,620,,21.91
COVINGTON-DOUGLAS ES,COVINGTON,COVINGTON,GARFIELD COUNTY,13.7,21,24,,,,,,36,165,,14.67
COVINGTON-DOUGLAS HS,COVINGTON,COVINGTON,GARFIELD COUNTY,8.6,,,16,22,29,18,,,,85,9.88
COWETA HS,COWETA,COWETA,WAGONER COUNTY,42.5,,,,259,237,190,,,,686,16.14
COWETA INTERMEDIATE HS,COWETA,COWETA,WAGONER COUNTY,14.2,,,238,,,,,,,238,16.76
COWETA JHS,COWETA,COWETA,WAGONER COUNTY,27.8,254,258,,,,,,,512,,18.42
COYLE ES,COYLE,COYLE,LOGAN COUNTY,19.5,28,19,,,,,,54,191,,12.56
COYLE HS,COYLE,COYLE,LOGAN COUNTY,8.4,,,24,19,21,21,,,,85,10.12
CRAIN ES,CLAYTON,CLAYTON,PUSHMATAHA COUNTY,11.2,15,22,,,,,,45,134,,15.98
CREEK ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,22.5,,,,,,,,54,361,,18.44
CRESCENT ES,CRESCENT,CRESCENT,LOGAN COUNTY,18.9,,,,,,,,92,217,,16.35
CRESCENT HS,CRESCENT,CRESCENT,LOGAN COUNTY,12.2,,,38,42,51,35,,,,166,13.61
CRESCENT MS,CRESCENT,CRESCENT,LOGAN COUNTY,7.7,36,53,,,,,,,130,,16.88
CROOKED OAK HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,15.1,,,66,76,67,50,,,,259,17.15
CROOKED OAK MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,12.4,83,72,,,,,,,238,,19.19
CROSBY PARK ES,LAWTON,LAWTON,COMANCHE COUNTY,20,,,,,,,,50,233,,14.15
CROSS TIMBERS ES,EDMOND,EDMOND,OKLAHOMA COUNTY,46.4,,,,,,,,231,713,,20.34
CROSS TIMBERS ES,TECUMSEH,TECUMSEH,POTTAWATOMIE COUNTY,30,,,,,,,2,,454,,15.2
CROWDER ES,CROWDER,CROWDER,PITTSBURG COUNTY,20.3,31,28,,,,,,62,258,,15.76
CROWDER HS,CROWDER,CROWDER,PITTSBURG COUNTY,11,,,36,50,48,34,,,,168,15.27
CRUTCHO PUBLIC SCHOOL,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.5,24,21,,,,,3,65,227,,10.35
CURTIS INGE MS,NOBLE,NOBLE,CLEVELAND COUNTY,38.7,213,225,,,,,,,667,,17.24
CUSHING HS,CUSHING,CUSHING,PAYNE COUNTY,36.5,,,157,134,105,109,,,,505,13.84
CUSHING MS,CUSHING,CUSHING,PAYNE COUNTY,24.2,122,115,,,,,,,361,,14.92
CYRIL ES,CYRIL,CYRIL,CADDO COUNTY,14.5,22,27,,,,,,47,206,,17.45
CYRIL HS,CYRIL,CYRIL,CADDO COUNTY,9.5,,,27,17,23,27,,,,94,9.89
DAHLONEGAH PUBLIC SCHOOL,STILWELL,STILWELL,ADAIR COUNTY,13.5,13,12,,,,,,40,96,,10.07
DALE ES,DALE,DALE,POTTAWATOMIE COUNTY,16.6,,,,,,,,82,257,,20.42
DALE HS,DALE,DALE,POTTAWATOMIE COUNTY,12.5,,,40,39,46,49,,,,174,13.92
DALE MS,DALE,DALE,POTTAWATOMIE COUNTY,11.5,57,56,,,,,,,160,,13.91
DANIEL WEBSTER HS,TULSA,TULSA,TULSA COUNTY,40.4,,,252,151,115,86,,,,604,14.95
DARLINGTON PUBLIC SCHOOL,EL RENO,EL RENO,CANADIAN COUNTY,13.6,14,19,,,,,,52,186,,17.5
DARNABY ES,TULSA,TULSA,TULSA COUNTY,31.4,,,,,,,,133,400,,16.97
DAVENPORT ES,DAVENPORT,DAVENPORT,LINCOLN COUNTY,11.5,34,19,,,,,,54,201,,22.17
DAVENPORT HS,DAVENPORT,DAVENPORT,LINCOLN COUNTY,9.9,,,27,24,27,29,,,,107,10.81
DAVIDSON ES,DAVIDSON,DAVIDSON,TILLMAN COUNTY,7.8,14,6,,,,,,14,60,,9.49
DAVIDSON HS,DAVIDSON,DAVIDSON,TILLMAN COUNTY,4.8,,,9,6,15,11,,,,41,8.54
DAVIS ES,DAVIS,DAVIS,MURRAY COUNTY,25.2,,,,,,,,154,328,,19.13
DAVIS HS,DAVIS,DAVIS,MURRAY COUNTY,16.9,,,65,66,72,53,,,,256,15.15
DAVIS MS,DAVIS,DAVIS,MURRAY COUNTY,18.9,70,71,,,,,,,270,,14.29
DEBORAH BROWN COMMUNITY SCHOOL,TULSA,TULSA,TULSA COUNTY,9,,,,,,,,39,160,,22.11
DEEP ROCK ES,CUSHING,CUSHING,PAYNE COUNTY,11,,,,,,,,42,123,,15
DEER CREEK ES,EDMOND,EDMOND,OKLAHOMA COUNTY,36,,,,,,,,94,467,,15.58
DEER CREEK HS,EDMOND,EDMOND,OKLAHOMA COUNTY,58.7,,,268,255,236,222,3,,,981,16.76
DEER CREEK MS,EDMOND,EDMOND,OKLAHOMA COUNTY,56.6,313,268,,,,,8,,901,,16.06
DEER CREEK-LAMONT ES,DEER CREEK,DEER CREEK,GRANT COUNTY,12.5,12,13,,,,,,15,103,,9.44
DEER CREEK-LAMONT HS,LAMONT,LAMONT,GRANT COUNTY,6.4,,,10,16,15,23,,,,64,10
DEL CITY ES,DEL CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,23,,,,,,,,103,295,,17.3
DEL CITY HS,DEL CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,87,,,351,310,349,306,,,,1316,15.13
DEL CREST MS,DEL CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,37,192,198,,,,,,,587,,15.86
DENISON PUBLIC SCHOOL,IDABEL,IDABEL,MCCURTAIN COUNTY,18.2,25,23,,,,,,59,250,,16.98
DENNIS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,30.3,,,,,,,,165,399,,18.61
DEPEW ES,DEPEW,DEPEW,CREEK COUNTY,11,33,22,,,,,,31,168,,18.09
DEPEW HS,DEPEW,DEPEW,CREEK COUNTY,8.3,,,41,39,36,45,,,,161,19.4
DEWAR ES,DEWAR,DEWAR,OKMULGEE COUNTY,20.5,29,19,,,,,,61,260,,15.66
DEWAR HS,DEWAR,DEWAR,OKMULGEE COUNTY,13.1,,,29,44,29,28,,,,130,9.92
DEWEY ES,DEWEY,DEWEY,WASHINGTON COUNTY,33.9,,,,,,,,140,431,,16.84
DEWEY HS,DEWEY,DEWEY,WASHINGTON COUNTY,20.9,,,117,108,68,78,,,,371,17.75
DEWEY MS,DEWEY,DEWEY,WASHINGTON COUNTY,16.9,85,96,,,,,,,260,,15.38
DEWITT WALLER MS,ENID,ENID,GARFIELD COUNTY,38.1,200,168,,,,,,,576,,15.12
DIBBLE ES,DIBBLE,DIBBLE,MCCLAIN COUNTY,20.1,,,,,,,,76,235,,15.47
DIBBLE HS,DIBBLE,DIBBLE,MCCLAIN COUNTY,14.6,,,65,48,44,44,,,,201,13.77
DIBBLE MS,DIBBLE,DIBBLE,MCCLAIN COUNTY,11.4,67,58,,,,,,,175,,15.35
DICKSON ES,ARDMORE,ARDMORE,CARTER COUNTY,19.3,,,,,,,4,167,197,,19.07
DICKSON HS,ARDMORE,ARDMORE,CARTER COUNTY,23.4,,,107,110,97,92,1,,,406,17.39
DICKSON MS,ARDMORE,ARDMORE,CARTER COUNTY,14.8,102,97,,,,,,,293,,19.8
DICKSON UPPER ES,ARDMORE,ARDMORE,CARTER COUNTY,14.2,,,,,,,3,,261,,18.59
DIERKS ES,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,27.2,,,,,,,3,230,263,,18.24
DIMENSIONS ACADEMY,NORMAN,NORMAN,CLEVELAND COUNTY,16.7,,,23,32,21,15,169,,,91,15.57
DIMENSIONS ACADEMY,NORMAN,NORMAN,CLEVELAND COUNTY,16.8,3,10,,,,,70,3,31,,6.19
DISCOVERY SCHOOL OF TULSA,TULSA,TULSA,TULSA COUNTY,25,42,20,,,,,,58,342,,16
DISNEY ES,TULSA,TULSA,TULSA COUNTY,50.6,,,,,,,,161,736,,17.73
DOUGLASS HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.3,,,160,142,128,105,,,,535,18.9
DOUGLASS LEARNING CTR,LAWTON,LAWTON,COMANCHE COUNTY,21.9,,,,,,,,25,159,,8.4
DOUGLASS MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,15.7,71,149,,,,,,,220,,14.01
DOVE SCIENCE ACADEMY (OKC),OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.6,82,77,59,54,58,45,,,242,216,16.01
DOVE SCIENCE ACADEMY (TULSA),TULSA,TULSA,TULSA COUNTY,25.2,73,61,40,51,23,20,,,261,134,15.67
DOVE SCIENCE ACADEMY ES (OKC),OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,16.8,,,,,,,,52,252,,18.1
DOVER ES,DOVER,DOVER,KINGFISHER COUNTY,11.4,12,23,,,,,,31,123,,13.51
DOVER HS,DOVER,DOVER,KINGFISHER COUNTY,5.7,,,19,23,16,16,,,,74,12.98
DRUMMOND ES,DRUMMOND,DRUMMOND,GARFIELD COUNTY,14.4,22,29,,,,,,53,195,,17.22
DRUMMOND HS,DRUMMOND,DRUMMOND,GARFIELD COUNTY,7,,,21,21,16,25,,,,83,11.86
DRUMRIGHT HS,DRUMRIGHT,DRUMRIGHT,CREEK COUNTY,13,,,38,42,55,37,,,,172,13.23
DUKE ES,DUKE,DUKE,JACKSON COUNTY,11.2,22,9,,,,,,25,111,,12.14
DUKE HS,DUKE,DUKE,JACKSON COUNTY,5,,,12,15,13,10,,,,50,10
DUNCAN HS,DUNCAN,DUNCAN,STEPHENS COUNTY,65.7,,,282,270,245,227,,,,1024,15.59
DUNCAN MS,DUNCAN,DUNCAN,STEPHENS COUNTY,44.6,285,260,,,,,,,851,,19.08
DURANT HS,DURANT,DURANT,BRYAN COUNTY,55.6,,,235,215,199,194,,,,843,15.16
DURANT INTERMEDIATE ES,DURANT,DURANT,BRYAN COUNTY,45.2,,,,,,,,,711,,15.73
DURANT MS,DURANT,DURANT,BRYAN COUNTY,32.1,240,241,,,,,,,481,,14.98
DUSTIN ES,DUSTIN,DUSTIN,HUGHES COUNTY,9.3,9,2,,,,,,16,51,,7.2
DUSTIN HS,DUSTIN,DUSTIN,HUGHES COUNTY,4.6,,,3,8,5,5,,,,21,4.57
E. M. TROUT ES,PONCA CITY,PONCA CITY,KAY COUNTY,19.9,,,,,,,,95,259,,17.79
EAGLETOWN ES,EAGLETOWN,EAGLETOWN,MCCURTAIN COUNTY,13.9,22,19,,,,,,32,128,,11.51
EAGLETOWN HS,EAGLETOWN,EAGLETOWN,MCCURTAIN COUNTY,7.2,,,17,23,13,15,,,,68,9.44
EARL HARRIS ES,BETHANY,BETHANY,OKLAHOMA COUNTY,35.6,,,,,,,,179,539,,20.17
EARLSBORO ES,EARLSBORO,EARLSBORO,POTTAWATOMIE COUNTY,10.8,20,15,,,,,,31,128,,14.72
EARLSBORO HS,EARLSBORO,EARLSBORO,POTTAWATOMIE COUNTY,6.8,,,27,27,15,29,,,,98,14.41
EARLYWINE ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,28,,,,,,,,94,369,,16.54
EAST CENTRAL HS,TULSA,TULSA,TULSA COUNTY,68.4,,,417,301,232,191,,,,1141,16.68
EAST SIDE ES,CHANDLER,CHANDLER,LINCOLN COUNTY,18.2,,,,,,,,174,171,,18.96
EAST SIDE ES,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,27,,,,,,,38,103,292,,16.04
EASTLAKE ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,27.7,,,,,,,,70,422,,17.76
EASTSIDE ES,SALLISAW,SALLISAW,SEQUOYAH COUNTY,27.9,,,,,,,1,,439,,15.77
ED. UNIT-L.E. RADER/TULSA CNTY,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,11,,,18,10,5,7,,,,40,3.64
