    0  1
    0  1
   22  1
    3  1
   17  1
    0  1
    0  1
    7  1
   11  1
   11  1
   73  1
   33  1
    0  1
   65  1
   13  1
   44  1
   20  1
   27  1
   48  1
  104  1
  233  1
   81  1
   22  1
    9  1
    2  1
    0  2
    0  2
   56  2
    0  2
    8  2
    0  2
    3  2
    1  2
   16  2
   55  2
  142  2
   10  2
    2  2
  145  2
    6  2
    4  2
    5  2
  124  2
   24  2
  204  2
  415  2
  466  2
    6  2
   14  2
   12  2
    0  3
    0  3
    4  3
   13  3
    5  3
    1  3
    1  3
    4  3
    4  3
   36  3
  407  3
    0  3
    0  3
   18  3
    4  3
   14  3
    0  3
   24  3
   52  3
  314  3
  245  3
  107  3
    5  3
    6  3
    2  3
    0  4
    0  4
    0  4
    4  4
    2  4
    2  4
    5  4
    4  4
    2  4
    1  4
    0  4
   12  4
    1  4
   30  4
    0  4
    3  4
   28  4
    2  4
   21  4
    8  4
   82  4
   12  4
   10  4
    2  4
    0  4
    0  5
    1  5
    1  5
    2  5
    2  5
    1  5
    2  5
   29  5
    2  5
    2  5
    0  5
   13  5
    0  5
   19  5
    1  5
    3  5
   26  5
   30  5
    5  5
    4  5
   94  5
    1  5
    9  5
    3  5
    0  5
    0  6
    0  6
    0  6
    2  6
    3  6
    0  6
    0  6
    4  6
    0  6
    5  6
    4  6
   22  6
    0  6
   64  6
    4  6
    4  6
   43  6
    3  6
   16  6
   19  6
   95  6
    6  6
   22  6
    0  6
    0  6


