"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"N",1996,2006,11,"C",0,673,2061,222,523,116,6,21,202,21,10,96,199,254,346,302
"N",1963,1974,12,"SS",0,936,3055,396,767,81,28,7,162,126,51,250,265,251,303,308
"N",1990,2000,11,"C",0,903,2527,325,667,107,2,90,387,7,7,337,581,264,415,362
"N",1957,1968,12,"OF",0.33,1463,5101,826,1325,195,42,275,851,21,9,652,733,260,476,345
"N",1961,1970,10,"C",0,674,1623,130,365,53,5,21,157,7,8,214,225,225,303,316
"N",1955,1966,12,"3B",0,1115,3446,429,877,161,28,115,432,51,26,243,535,254,418,305
"N",1974,1984,11,"OF",0,901,2737,342,731,126,28,78,328,26,25,256,428,267,419,332
"N",1950,1963,14,"C",0,772,1929,179,450,69,5,34,203,5,12,253,188,233,327,320
"N",1985,2000,15,"C",0,800,2232,216,493,119,4,56,261,1,10,209,354,221,353,303
"N",1980,1989,10,"1B",0.2,1067,3587,522,992,192,40,147,530,106,61,444,679,277,475,356
"N",1989,2005,17,"OF",0.12,2165,8275,1187,2251,386,56,227,967,429,116,553,1240,272,415,318
"N",1953,1964,12,"OF",0.17,1517,5357,843,1458,258,46,164,676,67,43,674,768,272,429,358
"N",1955,1969,11,"C",0,849,2465,269,622,98,7,90,326,4,7,330,494,252,407,344
"N",1985,1996,12,"OF",0.25,1278,4559,802,1298,281,43,81,404,285,72,640,503,285,419,375
"N",1989,2001,13,"SS",0,1251,3408,477,922,158,35,37,388,97,43,355,496,271,370,341
"N",1977,1986,10,"2B",0,1156,3859,557,916,113,27,23,279,343,78,478,508,237,299,321
"N",1964,1978,15,"OF",0,1516,5022,641,1243,201,48,117,500,44,23,371,564,248,377,298
"N",1981,1992,11,"3B",0.18,1311,4520,535,1220,204,24,120,545,16,25,439,764,270,405,334
"N",1964,1975,12,"1B",0,1289,4451,491,1229,191,29,66,519,26,30,254,406,276,377,316
"N",1994,2007,14,"3B",0.14,1617,5396,800,1598,343,21,112,727,63,37,563,694,296,430,366
"N",1990,2002,12,"3B",0.08,983,3346,578,870,166,17,112,482,47,27,464,687,260,420,358
"N",1997,2006,10,"C",0,724,1906,262,463,99,12,66,261,56,11,168,372,243,411,303
"N",1996,2008,13,"OF",0.15,1364,4762,648,1389,301,29,171,683,25,22,407,871,292,475,351
"N",1984,1997,12,"SS",0,942,2478,252,630,105,9,22,201,13,19,76,324,254,331,279
"N",1983,1998,16,"OF",0.31,2189,8422,1170,2184,432,53,396,1445,231,66,527,1387,259,464,306
"N",1950,1966,17,"1B",0.06,1959,6606,823,1832,295,35,336,1122,20,25,594,1059,277,485,337
"N",1996,2007,12,"C",0,566,1456,162,337,78,2,58,206,3,0,165,415,231,407,317
"N",1971,1985,15,"2B",0,1597,4677,585,1163,154,54,43,370,140,92,456,593,249,332,317
"N",1965,1974,10,"C",0.1,859,2786,214,627,87,12,50,252,2,10,101,430,225,319,252
"N",1955,1964,10,"3B",0,1062,3278,348,835,135,8,62,356,25,11,182,314,255,358,297
"N",1970,1985,16,"OF",0,1368,3476,510,881,137,18,116,441,128,78,446,596,253,403,337
"N",1969,1986,18,"OF",0.28,1977,7023,986,1925,307,47,348,1239,51,31,666,1419,274,480,338
"N",1966,1984,19,"1B",0.11,1832,6185,802,1826,307,41,184,989,27,28,653,796,295,447,364
"N",1963,1974,12,"2B",0.17,1483,5235,745,1429,223,23,39,370,65,55,555,382,273,347,368
"N",1962,1977,16,"OF",0,1311,3467,411,824,143,18,85,424,34,39,456,518,238,363,327
"N",1991,2001,11,"3B",0,461,804,99,200,33,4,4,54,15,7,73,136,249,315,311
"N",1971,1983,11,"C",0,383,934,75,225,26,2,7,83,9,2,74,93,241,296,296
"N",1969,1980,10,"OF",0,822,2234,277,610,87,31,30,184,55,40,108,338,273,380,306
"N",1995,2008,14,"1B",0,1314,4226,538,1153,249,7,106,527,3,8,562,503,273,410,361
"N",1996,2007,11,"3B",0.18,1309,4568,625,1146,226,17,221,718,47,26,287,790,251,453,299
"N",1986,2004,19,"2B",0,1832,6192,943,1602,255,47,53,615,272,119,875,983,259,341,349
"N",1966,1981,16,"3B",0.25,2019,7060,982,1790,289,38,242,1039,75,46,1031,923,254,408,352
"N",1996,2007,11,"SS",0,939,2939,375,714,147,19,40,308,81,28,293,497,243,347,319
"N",1949,1967,18,"C",0.33,1691,4471,485,1318,230,33,126,673,13,14,477,270,295,446,362
"N",1966,1983,16,"OF",0,1472,4364,536,1127,229,29,166,641,71,49,263,820,258,438,300
"N",1970,1980,11,"OF",0,1029,2843,360,742,121,16,18,234,60,54,409,358,261,334,358
"N",1991,2007,17,"OF",0.35,2103,8120,1528,2428,383,116,130,781,622,160,945,1016,299,423,372
"N",1991,2006,16,"3B",0.12,1854,6822,902,1884,349,28,320,1105,33,43,423,1069,276,476,321
"N",1995,2007,12,"C",0,418,1026,98,226,39,2,12,101,3,6,103,219,220,297,293
"N",1989,2000,11,"OF",0,779,2506,379,692,113,9,101,382,19,16,276,510,276,449,349
"N",1971,1985,15,"OF",0,1425,3650,466,989,155,19,52,388,45,27,579,433,271,367,371
"N",1984,1993,10,"3B",0.2,939,3159,431,818,148,24,117,443,80,33,197,504,259,432,307
"N",1992,2006,11,"C",0,282,651,66,147,28,2,11,79,5,5,44,162,226,326,276
"N",1977,1989,10,"SS",0,564,1586,190,414,65,22,20,146,28,18,65,266,261,368,292
"N",1952,1964,12,"OF",0,964,1913,283,460,78,15,37,207,27,20,233,322,240,355,325
"N",1991,2004,14,"1B",0,1755,6441,797,1724,324,11,284,1027,59,30,552,1167,268,454,325
"N",1983,1999,17,"OF",0,1709,5115,878,1379,142,27,11,318,620,186,585,694,270,314,343
"N",1949,1961,13,"1B",0.08,1288,4124,478,1113,168,22,152,704,5,6,328,582,270,432,326
"N",1981,1993,11,"1B",0,960,3120,351,714,127,11,181,495,1,2,273,856,229,451,293
"N",1966,1978,13,"2B",0,1031,3104,308,754,109,10,24,239,11,24,207,219,243,308,291
"N",1976,1993,18,"OF",0.39,2180,7960,1197,2111,350,39,398,1266,161,68,986,1748,265,469,346
"N",1982,1995,14,"1B",0.43,1785,7003,1007,2153,442,20,222,1099,14,9,588,444,307,471,358
"N",1987,2001,15,"OF",0.07,1472,5013,798,1273,233,19,310,965,6,24,792,1406,254,494,359
"N",1984,2001,17,"OF",0,1763,5047,781,1358,225,40,57,503,246,51,578,839,269,363,345
"N",1961,1971,10,"OF",0,1002,3091,485,778,132,31,133,415,65,40,383,756,252,444,347
"N",1966,1977,12,"2B",0.25,1480,5791,699,1617,229,38,22,403,67,43,318,242,279,343,322
"N",1974,1987,13,"SS",0.31,1346,5139,656,1401,256,23,50,449,72,68,420,477,273,361,328
"N",1985,1996,12,"OF",0.17,1269,4623,657,1400,275,38,130,726,80,43,460,364,303,463,368
"N",1965,1979,13,"OF",0,1282,4238,572,1121,173,34,86,497,193,100,258,587,265,382,314
"N",1963,1974,10,"OF",0,705,1815,197,411,67,16,30,177,25,18,217,316,226,331,309
"N",1995,2006,12,"OF",0,1118,3191,451,871,192,22,98,401,75,43,262,701,273,439,328
"N",1983,1995,13,"OF",0.23,1658,5711,835,1562,293,91,164,792,245,59,667,1063,274,443,349
"N",1977,1986,10,"OF",0,743,1647,149,455,103,11,14,216,5,7,107,180,276,378,317
"N",1986,1995,10,"2B",0,982,3190,431,866,135,25,23,288,73,45,393,325,271,351,351
"N",1983,1994,12,"2B",0.17,1374,4782,640,1233,230,53,21,353,250,138,480,417,258,341,327
"N",1973,1987,15,"3B",0.2,1806,6594,920,2008,348,34,163,860,174,90,605,510,305,442,365
"N",1993,2006,11,"OF",0,421,796,132,199,39,12,20,82,29,14,85,211,250,405,327
"N",1965,1977,13,"OF",0,1221,3642,404,964,144,11,102,454,30,27,314,616,265,394,324
"N",1962,1973,12,"2B",0,1139,3404,357,815,140,21,73,351,13,16,370,424,239,357,314
"N",1983,1995,13,"OF",0,1265,3419,504,900,150,55,70,342,160,73,325,578,263,401,330
"N",1985,2000,16,"SS",0.19,1993,6686,773,1764,275,69,28,619,169,108,239,511,264,338,287
"N",1969,1980,12,"C",0,877,2576,170,603,86,11,31,244,5,5,189,240,234,312,285
"N",1971,1988,18,"OF",0.22,2048,7129,941,1980,343,27,267,1111,59,47,567,1013,278,446,329
"N",1985,1994,10,"OF",0,905,2620,341,638,129,15,117,390,7,10,335,642,244,438,330
"N",1980,1993,11,"OF",0,526,1217,150,299,37,7,17,116,67,19,109,212,246,329,305
"N",1959,1973,15,"SS",0,1326,3689,387,922,138,26,52,372,46,35,244,510,250,344,298
"N",1983,1996,11,"OF",0,917,2708,362,781,142,21,32,266,43,38,318,307,288,392,364
"N",1967,1979,12,"C",0.17,924,2957,299,758,117,13,61,324,15,19,203,363,256,367,306
"N",1972,1982,10,"3B",0,709,2017,194,483,77,7,49,208,27,8,128,361,239,357,286
"N",1956,1971,15,"OF",0.2,1759,6357,851,1861,271,44,85,636,88,73,444,609,293,389,342
"N",1986,2006,20,"OF",0.2,2186,8044,1084,2152,428,59,306,1322,142,52,610,1239,268,450,315
"N",1953,1964,11,"C",0.09,608,1455,171,353,59,10,46,166,3,7,170,295,243,392,321
"N",1987,2002,16,"2B",0,1273,4244,633,1171,214,23,100,445,78,37,463,853,276,408,352
"N",1994,2005,12,"3B",0,793,1362,157,333,75,7,24,132,13,13,112,261,244,363,303
"N",1973,1986,13,"OF",0.08,1436,4677,681,1051,212,13,268,782,50,49,697,1339,225,448,324
"N",1978,1991,14,"C",0,1325,4212,462,1061,173,27,86,469,54,40,278,616,252,367,300
"N",1976,1989,14,"OF",0.07,1408,3659,453,969,180,23,80,422,60,55,332,589,265,392,329
"N",1960,1976,16,"1B",0,1765,5941,706,1447,247,33,245,923,11,18,585,1318,244,420,311
"N",1977,1986,10,"OF",0,976,3068,363,833,143,24,56,355,64,39,229,387,272,389,323
"N",1962,1974,13,"SS",0.15,1598,5071,605,1270,225,40,101,606,34,54,698,853,250,370,343
"N",1950,1962,10,"2B",0,1143,4035,527,1049,181,35,39,320,48,22,431,396,260,351,333
"N",1958,1973,16,"OF",0.25,1895,6488,864,1774,245,35,382,1119,8,9,782,1460,273,499,352
"N",1954,1965,12,"3B",0.08,1095,3283,353,773,130,22,91,352,45,25,246,678,235,372,290
"N",1989,2003,14,"3B",0.07,1357,4902,734,1229,231,15,275,849,48,31,502,1332,251,472,324
"N",1959,1980,21,"C",0.1,1909,5529,590,1501,242,57,97,645,61,49,548,422,271,388,337
"N",1998,2008,11,"OF",0,948,2234,242,588,131,5,90,379,1,6,192,422,263,447,320
"N",1997,2008,12,"1B",0.17,1367,4928,748,1286,260,17,306,943,14,13,588,1313,261,507,344
"N",1995,2005,11,"C",0,564,1525,137,386,85,2,40,172,1,4,84,234,253,390,297
"N",1974,1984,11,"OF",0,1018,2652,337,666,130,17,85,345,38,23,207,574,251,409,307
"N",1954,1965,12,"OF",0.17,1457,4843,737,1399,212,60,142,661,89,68,644,591,289,445,371
"N",1960,1970,11,"SS",0,874,2307,254,628,88,11,44,230,24,12,156,291,272,377,320
"N",1978,1989,12,"1B",0,563,810,96,192,34,1,18,117,1,2,81,126,237,348,306
"N",1984,1994,11,"OF",0,1058,2629,378,655,131,22,83,278,98,50,237,469,249,410,312
"N",1980,1992,13,"C",0.15,1033,3159,331,795,176,12,88,382,3,4,236,509,252,399,304
"N",1987,1997,10,"C",0,683,2030,175,488,106,6,47,257,3,6,139,409,240,368,288
"N",1999,2008,10,"OF",0,832,2707,437,721,95,53,23,213,243,58,307,362,266,366,342
"N",1950,1963,12,"OF",0.08,1010,3445,446,901,121,35,164,529,13,18,363,787,262,460,332
"N",1965,1982,18,"SS",0.06,2016,5784,676,1316,175,33,20,389,167,75,576,839,228,280,300
"N",1994,2007,14,"OF",0,1322,3409,382,898,183,6,96,446,7,12,284,717,263,405,322
"N",1974,1985,11,"3B",0,891,2626,268,682,139,23,43,293,10,10,275,287,260,379,329
"N",1970,1980,11,"SS",0,1219,4201,453,972,101,71,5,254,83,36,355,449,231,293,291
"N",1984,1993,10,"OF",0.1,924,3312,470,901,200,25,104,444,97,49,306,556,272,442,333
"N",1985,1995,11,"SS",0,922,2693,304,686,88,20,19,249,31,20,201,531,255,323,305
"N",1981,1995,15,"OF",0,1410,4106,498,1042,227,17,146,618,34,33,391,864,254,424,322
"N",1986,2005,20,"C",0.25,1978,6951,755,1830,323,41,217,920,91,69,430,1270,263,415,307
"N",1997,2008,10,"C",0,631,1507,154,379,82,5,45,210,0,0,131,257,251,402,310
"N",1993,2005,13,"OF",0.08,957,3032,475,824,172,17,110,423,67,30,292,596,272,449,338
"N",1981,1990,10,"1B",0,708,1731,163,474,74,6,16,143,12,12,65,119,274,351,300
"N",1980,1993,14,"2B",0,1102,3245,482,893,138,19,10,240,117,52,371,480,275,339,349
"N",1964,1977,12,"1B",0.08,966,2080,281,504,73,18,53,229,28,21,311,489,242,371,341
"N",1960,1972,13,"1B",0.15,1400,4026,530,1003,176,16,200,643,24,32,606,668,249,450,348
"N",1989,2006,18,"SS",0,1820,5379,633,1453,204,47,36,480,74,62,378,729,270,346,318
"N",1981,1990,10,"C",0.2,1082,3585,364,877,164,11,127,490,7,16,333,712,245,403,307
"N",1983,1992,10,"C",0,848,2316,220,545,95,9,48,293,31,20,292,432,235,346,321
"N",1982,1993,12,"OF",0,1219,3045,388,763,154,26,96,409,33,29,348,505,251,413,334
"N",1962,1975,14,"SS",0,1423,3443,302,748,79,24,6,252,7,11,370,538,217,259,293
"N",1986,2004,19,"1B",0.26,2460,8757,1349,2490,441,24,493,1550,72,38,1305,1882,284,509,377
"N",1944,1962,18,"3B",0.06,2109,7346,1215,1863,337,56,139,683,72,66,1614,920,254,371,394
"N",1965,1975,10,"C",0,373,979,74,196,25,3,22,91,2,1,80,336,200,299,266
"N",1992,2001,10,"1B",0.1,826,2775,470,730,126,5,141,490,36,17,430,686,263,465,369
"N",1973,1982,10,"C",0,687,2127,191,489,103,10,57,230,10,6,136,287,230,368,277
"N",1969,1983,15,"OF",0,1522,3780,460,977,161,50,51,392,82,40,354,746,258,368,325
"N",1968,1978,11,"OF",0,791,1925,239,429,68,12,65,218,20,20,309,339,223,372,334
"N",1970,1984,15,"OF",0.27,1821,6505,880,1795,344,24,307,1128,37,31,845,1495,276,478,363
"N",1982,1995,14,"3B",0.14,1531,4940,760,1229,247,22,228,760,231,77,692,1053,249,446,340
"N",1963,1976,13,"OF",0.08,1213,4263,565,1196,183,33,93,524,91,48,360,702,281,404,339
"N",1988,2002,13,"C",0,777,1796,224,422,78,8,56,236,23,17,193,286,235,381,319
"N",1979,1991,13,"OF",0,883,1961,208,503,96,6,30,229,12,14,220,242,257,357,330
"N",1968,1982,15,"OF",0,1799,5215,617,1344,179,42,87,481,64,60,481,675,258,358,319
"N",1975,1985,11,"OF",0,1153,4163,598,1123,214,38,121,566,61,37,303,722,270,427,324
"N",1975,1984,10,"2B",0.1,1154,4455,605,1226,140,38,7,329,208,99,356,404,275,328,327
"N",1961,1971,11,"OF",0.09,1353,3968,518,1048,152,47,113,443,130,50,416,685,264,412,332
"N",1974,1985,12,"C",0,795,2072,267,543,73,11,86,310,5,11,277,278,262,432,349
"N",1996,2007,12,"SS",0,1403,5127,640,1370,238,61,64,489,57,45,231,503,267,375,297
"N",1987,2000,12,"OF",0,1379,4840,728,1417,189,70,36,405,321,145,369,543,293,383,342
"N",1987,1998,11,"2B",0,823,2216,296,576,105,27,25,240,59,30,212,300,260,366,324
"N",1994,2006,13,"C",0,1305,3877,353,925,190,9,67,443,8,14,266,795,239,344,293
"N",1969,1980,12,"2B",0,1411,5011,577,1311,188,21,23,430,59,46,469,350,262,321,325
"N",1970,1981,10,"3B",0,277,559,37,90,14,1,6,44,4,5,29,109,161,222,203
"N",1985,1998,13,"1B",0.23,1470,5157,744,1313,200,7,319,1008,2,6,693,1316,255,482,345
"N",1990,2005,16,"1B",0.12,2023,7111,1008,1925,365,21,339,1271,27,20,780,1069,271,471,344
"N",1976,1987,12,"OF",0.17,1331,4415,643,1103,215,38,147,579,143,84,534,817,250,416,330
"N",1975,1989,15,"SS",0.13,1491,4466,480,1142,143,65,42,377,58,32,227,406,256,345,291
"N",1995,2006,12,"OF",0,1417,4083,625,1047,208,49,125,528,114,56,490,960,256,423,339
"N",1960,1977,18,"C",0.5,2209,7874,996,2342,344,59,252,1185,23,29,779,1094,297,452,365
"N",1954,1966,12,"1B",0.08,1141,3362,525,980,177,26,64,436,16,27,599,369,291,417,403
"N",1971,1980,10,"C",0,846,2405,254,619,107,12,30,235,8,4,245,180,257,349,326
"N",1981,1990,10,"OF",0,799,1719,205,460,100,10,18,183,8,8,176,217,268,369,335
"N",1948,1962,13,"C",0,695,1716,168,414,59,8,20,182,7,5,226,135,241,320,332
"N",1968,1980,13,"OF",0.08,1317,5108,717,1562,212,64,75,408,172,83,246,445,306,416,339
"N",1978,1990,11,"SS",0,507,1086,109,261,34,2,8,85,6,9,92,138,240,297,302
"N",1967,1988,22,"3B",0.27,2700,8986,1193,2225,328,28,390,1314,32,36,1088,1209,248,421,329
"N",1974,1986,11,"OF",0,646,1196,155,303,50,9,21,109,57,28,148,174,253,363,337
"N",1991,2005,15,"SS",0,1490,4850,549,1317,193,32,15,389,55,32,229,508,272,334,308
"N",1973,1987,15,"1B",0,1732,5479,746,1464,282,23,153,763,154,63,761,719,267,411,356
"N",1987,1998,12,"C",0.08,927,2896,247,733,153,11,44,320,18,21,189,450,253,359,299
"N",1986,2000,13,"SS",0,940,2844,332,648,136,12,88,376,14,11,295,562,228,377,300
"N",1950,1961,11,"OF",0.27,1438,5236,810,1463,259,45,199,929,143,55,750,546,279,460,369
"N",1952,1963,10,"SS",0,1098,3689,457,901,145,20,105,428,13,7,449,516,244,380,327
"N",1960,1974,13,"C",0.08,740,1950,132,458,66,12,18,169,3,17,241,354,235,309,319
"N",1982,1994,13,"C",0,749,1894,142,484,71,4,5,186,8,18,121,222,256,305,305
"N",1964,1975,12,"OF",0,1392,4692,603,1254,218,42,153,610,39,38,449,635,267,429,333
"N",1974,1984,11,"C",0.36,810,2681,334,696,152,10,46,312,91,51,323,294,260,375,341
"N",1943,1963,18,"1B",0.44,2071,7030,1105,1921,295,48,370,1274,63,31,943,1137,273,487,359
"N",1977,1995,19,"C",0.42,1988,7067,856,1782,305,27,324,1070,28,37,612,1527,252,440,313
"N",1975,1990,16,"OF",0,1701,4907,667,1335,187,52,32,373,395,139,467,660,272,351,338
"N",1964,1973,10,"C",0,556,1527,120,357,63,10,15,130,1,2,157,293,234,318,307
"N",1974,1985,12,"1B",0.08,1666,5564,783,1614,266,28,80,686,24,37,965,550,290,391,396
"N",1960,1971,12,"OF",0,1559,5195,690,1485,238,57,103,615,79,61,467,706,286,413,350
"N",1959,1971,13,"OF",0,1288,4048,533,1109,190,39,94,419,59,34,282,481,274,410,323
"N",1990,1999,10,"2B",0.1,610,2178,274,580,102,17,33,197,73,33,115,340,266,374,307
"N",1993,2003,11,"OF",0,1198,4010,547,1100,234,40,127,591,17,22,334,661,274,448,332
"N",1973,1988,16,"2B",0.19,1860,6136,780,1594,299,82,109,738,225,105,564,842,260,389,323
"N",1991,2001,11,"3B",0.09,1203,4095,506,1010,225,12,152,558,6,12,358,833,247,419,318
"N",1972,1985,14,"OF",0.07,1496,5053,778,1422,220,52,54,402,254,92,471,709,281,378,343
"N",1992,2005,14,"OF",0,1168,3059,474,780,183,18,85,365,106,57,180,530,255,410,301
"N",1973,1989,17,"C",0,1370,4123,397,1010,183,13,90,513,7,10,461,622,245,361,320
"N",1971,1987,17,"3B",0.35,2073,7162,977,1868,328,21,316,1139,24,29,1012,1235,261,445,354
"N",1991,2000,10,"OF",0,727,1788,305,493,82,10,11,159,112,39,176,277,276,351,344
"N",1993,2007,15,"OF",0.07,1474,5357,756,1519,296,34,198,768,94,47,360,925,284,462,336
"N",1966,1984,19,"OF",0.11,1986,6136,950,1619,248,64,241,775,98,91,924,1513,264,443,361
"N",1956,1966,11,"2B",0.09,969,2707,360,707,97,10,89,330,27,10,256,352,261,403,329
"N",1974,1990,17,"OF",0.53,1969,6925,1063,1960,388,43,306,1111,72,54,857,1116,283,484,360
"N",1996,2008,11,"C",0,427,1109,136,245,49,0,47,140,2,3,72,327,221,392,295
"N",1966,1978,12,"C",0,480,919,68,198,30,1,12,73,3,2,44,175,215,289,252
"N",1987,1998,12,"2B",0,912,2729,287,674,121,6,20,229,25,16,174,332,247,318,294
"N",1971,1988,17,"OF",0,1500,4651,610,1274,190,30,79,476,104,76,349,551,274,379,327
"N",1986,1998,12,"2B",0.08,1202,4147,663,1220,203,31,30,352,264,95,396,548,294,380,358
"N",1961,1972,12,"C",0.25,1294,3935,461,1011,153,31,134,504,14,30,477,593,257,414,340
"N",1981,1995,15,"SS",0,1612,5258,688,1376,243,38,34,510,99,58,514,541,262,342,332
"N",1952,1963,11,"SS",0,821,2513,357,626,106,15,40,250,14,7,331,285,249,351,335
"N",1985,1995,11,"C",0.09,902,2735,310,695,96,4,136,422,8,7,200,395,254,441,308
"N",1973,1990,18,"2B",0.28,2324,7859,912,2006,407,58,160,886,178,83,412,1035,255,383,293
"N",1979,1990,12,"3B",0,1336,3865,477,950,175,40,71,431,86,60,281,605,246,367,296
"N",1973,1983,11,"OF",0,637,1802,244,452,87,11,78,272,6,10,336,414,251,441,369
"N",1977,1990,12,"SS",0,730,1912,218,473,79,1,8,155,9,10,140,159,247,302,298
"N",1974,1989,16,"C",0.19,1962,6021,621,1493,243,36,95,624,20,37,699,963,248,348,327
"N",1964,1977,14,"OF",0,1210,3435,507,921,152,35,86,419,47,36,431,664,268,408,349
"N",1968,1982,15,"1B",0.07,1553,4908,541,1227,179,27,146,599,11,19,407,582,250,387,307
"N",1978,1989,12,"OF",0,1306,4581,511,1279,214,14,121,674,28,33,405,515,279,411,335
"N",1964,1984,18,"OF",0.06,1747,5867,651,1705,305,41,102,766,32,41,368,541,291,409,333
"N",1981,1992,12,"1B",0.08,1202,3911,454,1101,190,25,47,512,16,20,375,559,282,379,345
"N",1961,1978,18,"SS",0.33,1902,6523,844,1726,264,78,151,706,76,40,715,1097,265,398,338
"N",1986,2003,18,"SS",0.11,2063,7398,1123,1963,394,67,195,860,91,60,853,1443,265,416,343
"N",1970,1983,14,"OF",0,1217,3151,310,861,144,20,29,354,10,12,236,287,273,359,324
"N",1968,1977,10,"2B",0.1,813,2578,340,630,77,19,20,211,187,73,220,392,244,312,305
"N",1978,1992,15,"1B",0.33,1536,5392,730,1618,267,29,215,898,97,47,609,862,300,480,370
"N",1973,1987,14,"OF",0.07,1151,3677,465,1078,189,25,118,522,20,26,321,696,293,454,349
"N",1949,1964,15,"OF",0,1204,4007,594,1064,194,28,210,699,19,13,331,813,266,485,323
"N",1975,1992,18,"C",0,984,2266,193,544,100,7,43,247,5,16,177,435,240,347,298
"N",1951,1966,16,"SS",0.12,2093,6752,739,1639,253,35,68,594,41,36,665,711,243,321,314
"N",1977,1995,19,"2B",0.26,2390,8570,1386,2369,420,65,244,1084,143,75,1197,1099,276,426,363
"N",1954,1966,12,"2B",0.17,1540,5562,692,1415,221,40,106,556,40,38,462,558,254,366,313
"N",1996,2008,13,"C",0,550,1558,145,368,83,9,28,167,3,2,101,334,236,355,288
"N",1963,1974,12,"2B",0,1288,4007,427,960,145,23,80,422,26,20,345,785,240,347,303
"N",1972,1982,11,"3B",0.09,1344,4777,366,1243,243,12,68,548,10,14,184,518,260,359,290
"N",1967,1977,11,"SS",0,499,1144,104,283,43,3,1,86,3,7,47,77,247,293,280
"N",1982,1991,10,"2B",0,941,3378,418,938,163,9,18,314,57,21,304,209,278,347,337
"N",1992,2006,14,"C",0,662,1612,194,404,84,3,49,224,6,2,208,454,251,398,344
"N",1962,1974,12,"3B",0,856,2110,237,475,77,17,32,185,14,10,142,461,225,323,281
"N",1988,2003,16,"1B",0.19,2245,8065,1179,2445,511,45,173,1146,70,48,1075,642,303,442,383
"N",1952,1962,11,"3B",0,938,2850,371,741,119,38,64,350,23,21,268,389,260,396,327
"N",1959,1976,18,"OF",0.11,1999,7223,811,2121,272,35,153,1052,136,59,381,754,294,405,329
"N",1983,1995,13,"1B",0.08,1193,3144,383,832,150,11,59,396,142,75,328,374,265,376,333
"N",1958,1970,12,"OF",0,954,2569,388,633,91,29,77,283,62,29,341,466,246,394,337
"N",1954,1966,12,"OF",0.17,1381,4318,642,1198,197,58,103,531,67,36,485,646,277,421,351
"N",1990,2003,13,"C",0,589,1606,185,416,94,3,47,210,9,9,114,300,259,409,311
"N",1976,1991,15,"C",0.07,1328,3774,447,938,176,15,134,534,22,26,436,491,249,410,324
"N",1969,1983,15,"OF",0.07,1441,4528,516,1173,199,36,95,570,37,57,366,567,259,382,313
"N",1986,1995,10,"1B",0.3,1200,3897,582,1170,199,34,100,592,58,31,649,701,300,446,397
"N",1973,1991,19,"OF",0.37,2466,9358,1272,2712,526,75,339,1493,154,113,683,1537,290,471,339
"N",1986,2001,16,"3B",0,1582,4159,516,1197,218,13,42,495,11,11,718,546,288,377,390
"N",1968,1980,13,"OF",0,1023,2555,393,693,114,16,66,329,68,28,445,382,271,406,381
"N",1975,1984,10,"C",0.1,596,1457,132,374,71,2,21,172,6,8,182,109,257,351,339
"N",1975,1987,13,"SS",0.08,1653,5657,745,1454,244,25,163,694,27,34,771,908,257,395,345
"N",1968,1977,10,"3B",0.1,1144,3971,496,1004,162,9,160,591,23,24,479,669,253,419,337
"N",1987,1996,10,"SS",0,903,2767,294,718,86,11,4,207,27,21,166,147,259,303,305
"N",1975,1992,18,"3B",0,1271,2945,372,799,142,30,49,380,44,18,308,316,271,390,339
"N",1984,2001,17,"OF",0.12,1626,5321,938,1430,239,26,282,934,349,66,740,1398,269,482,359
"N",1990,2003,13,"2B",0,848,2571,300,671,103,12,36,261,28,20,124,198,261,352,297
"N",1955,1968,14,"C",0.64,1605,5363,619,1471,218,50,167,762,9,14,373,786,274,427,322
"N",1990,2001,12,"OF",0,1239,4061,606,1115,244,24,118,546,115,71,466,708,275,434,352
"N",1978,1989,12,"2B",0.08,1354,4441,545,1084,214,22,70,448,35,35,539,640,244,349,328
"N",1997,2007,10,"2B",0,731,2107,324,484,113,13,69,246,30,13,346,723,230,394,341
"N",1981,1997,17,"OF",0.06,2213,8180,1359,2375,277,131,54,578,558,257,1129,907,290,376,377
"N",1980,1991,12,"OF",0.08,1588,5815,869,1494,273,66,169,737,280,92,616,1135,257,414,332
"N",1969,1979,10,"SS",0,639,1698,176,441,59,9,12,157,27,20,140,134,260,326,315
"N",1974,1984,11,"OF",0,698,1371,199,350,63,4,54,218,15,13,188,244,255,425,350
"N",1978,1989,12,"C",0.17,982,2878,214,696,98,6,18,260,12,20,328,251,242,299,320
"N",1977,1987,11,"SS",0,853,2553,236,603,109,9,49,278,32,17,210,422,236,344,294
"N",1993,2007,15,"OF",0.13,1951,7082,1129,2003,445,35,328,1070,162,52,744,1315,283,494,355
"N",1986,1997,12,"3B",0.17,1439,5278,739,1557,285,35,74,613,80,49,669,617,295,404,375
"N",1974,1983,10,"OF",0,733,1742,222,448,73,9,45,238,45,24,159,245,257,387,319
"N",1964,1973,10,"C",0,574,1391,78,297,42,3,8,101,3,6,103,189,214,265,268
"N",1985,1999,11,"3B",0,941,2639,345,632,129,16,108,337,14,15,300,626,239,423,318
"N",1991,2001,11,"OF",0,1210,4578,642,1262,232,15,134,668,170,51,377,955,276,421,336
"N",1978,1988,10,"1B",0,1264,4203,596,1103,199,45,123,528,88,59,452,642,262,419,335
"N",1971,1982,11,"SS",0,1150,4043,503,1029,144,44,2,214,300,106,249,474,255,313,301
