"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"N",1993,2006,13,"2B",0.08,1303,4963,739,1353,190,59,36,368,363,74,308,649,273,356,317
"N",1979,1989,11,"2B",0,972,2473,255,631,77,25,9,209,22,22,277,293,255,317,335
"N",1963,1972,10,"C",0,1017,3330,250,765,123,18,81,375,10,10,172,610,230,350,271
"N",1956,1967,11,"OF",0,1109,3443,467,912,147,17,163,563,22,25,180,658,265,459,307
"N",1951,1962,12,"OF",0,1113,3452,455,1018,180,32,125,544,10,30,435,512,295,474,373
"N",1980,1990,11,"C",0.18,739,2258,258,549,84,6,98,307,4,5,248,453,243,416,324
"N",1977,1992,16,"3B",0,1602,4874,558,1354,237,44,29,446,62,47,546,356,278,362,351
"N",1964,1973,10,"1B",0,866,2020,248,512,73,17,52,245,16,15,158,270,253,384,312
"N",1987,1997,11,"2B",0,1284,4554,566,1231,263,10,27,392,40,44,542,407,270,350,349
"N",1976,1985,10,"C",0,860,2505,305,656,90,25,21,261,105,36,199,265,262,343,318
"N",1963,1977,15,"1B",0.47,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,292,534,378
"N",1991,2004,14,"OF",0,1372,2751,374,717,170,18,97,430,38,20,385,698,261,441,351
"N",1969,1987,19,"1B",0.53,2332,8835,1143,2599,440,43,272,1308,83,62,479,1003,294,446,329
"N",1989,1998,10,"C",0,894,2820,415,739,122,2,151,449,5,7,435,616,262,467,366
"N",1993,2006,14,"OF",0.07,1694,5710,917,1447,298,29,315,981,74,58,739,1376,253,481,345
"N",1963,1979,15,"OF",0,1380,4345,448,1216,170,26,32,377,31,46,138,267,280,353,305
"N",1973,1987,15,"C",0,1334,4033,456,1052,187,43,36,408,51,57,346,470,261,355,319
"N",1958,1976,19,"2B",0.05,2195,7680,1005,2007,298,86,75,598,234,111,613,1083,261,352,321
"N",1996,2005,10,"C",0,456,1123,96,259,55,4,13,108,6,4,111,202,231,321,308
"N",1960,1971,12,"OF",0,892,1834,251,437,53,25,6,125,22,19,153,262,238,304,304
"N",1959,1972,14,"SS",0.36,1942,7588,1067,2134,177,71,20,458,586,208,552,684,281,331,330
"N",1948,1963,11,"C",0,633,1449,133,351,46,5,58,213,2,0,191,251,242,401,330
"N",1979,1995,16,"C",0,1001,3151,339,931,186,7,63,428,8,17,133,188,295,419,329
"N",1973,1984,12,"SS",0.25,1392,4512,451,1114,169,23,40,423,17,29,328,349,247,321,297
"N",1989,2002,13,"SS",0,817,1926,227,442,109,15,24,169,44,14,106,429,229,339,277
"N",1950,1964,15,"OF",0.27,1741,6478,865,1823,311,66,206,942,30,31,470,636,281,445,330
"N",1981,1994,14,"OF",0.07,1800,6289,804,1543,306,33,271,919,69,70,770,1187,245,434,327
"N",1958,1969,11,"SS",0,940,2155,211,505,75,13,8,156,11,14,227,280,234,292,309
"N",1965,1980,16,"SS",0.12,1533,4744,539,1120,136,45,7,267,127,60,633,653,236,288,327
"N",1990,2003,14,"2B",0,854,1969,295,497,109,26,49,223,85,29,166,369,252,409,315
"N",1992,2003,12,"1B",0,1205,3897,536,1007,235,17,144,606,83,49,336,882,258,438,324
"N",1953,1966,14,"2B",0.14,1956,7119,1163,1889,304,71,65,558,203,111,1036,416,265,355,360
"N",1971,1985,15,"3B",0,970,2117,214,499,90,11,27,275,12,20,221,329,236,327,305
"N",1962,1978,17,"3B",0,1931,6082,772,1564,234,43,189,773,85,83,852,1126,257,403,347
"N",1971,1987,17,"C",0.24,1782,5539,765,1369,237,48,188,826,39,37,905,1025,247,409,354
"N",1993,2003,11,"C",0,682,2109,215,492,79,5,28,208,13,12,133,343,233,315,280
"N",1964,1983,19,"SS",0.32,2328,8684,1181,2249,313,86,79,646,649,199,618,1142,259,342,311
"N",1968,1986,19,"OF",0.11,2039,7117,964,1981,320,23,242,1013,137,73,762,926,278,432,347
"N",1991,2001,11,"2B",0,902,2795,320,736,155,13,48,306,29,18,196,511,263,380,312
"N",1960,1972,12,"SS",0,1164,3172,249,682,104,16,30,268,7,7,214,538,215,286,264
"N",1956,1968,12,"1B",0.25,1406,4481,662,1217,206,38,132,636,18,25,708,748,272,423,369
"N",1984,1996,13,"C",0,970,2775,314,658,121,12,77,350,5,7,258,413,237,373,314
"N",1970,1984,15,"OF",0.2,2082,7189,985,2029,317,25,246,1065,21,36,1263,1246,282,436,388
"N",1967,1981,15,"OF",0.07,1385,4338,620,1147,189,35,76,418,250,118,588,768,264,377,354
"N",1990,2000,11,"OF",0,940,3104,465,804,129,20,105,423,78,40,378,712,259,415,341
"N",1986,2001,16,"OF",0,1919,5795,795,1599,238,72,91,580,183,94,567,893,276,389,341
"N",1962,1976,15,"OF",0.07,1810,6269,972,1609,256,36,146,567,408,116,753,1080,257,379,338
"N",1970,1985,16,"OF",0.12,1689,5536,720,1443,230,20,240,882,16,22,831,1135,261,439,355
"N",1962,1975,14,"OF",0.07,1384,4136,422,1053,150,23,58,343,45,46,298,569,255,344,308
"N",1957,1967,11,"OF",0.09,1346,4288,625,1061,169,50,93,467,139,51,588,767,247,375,344
"N",1973,1990,18,"OF",0,1328,2761,409,719,115,17,77,349,26,15,402,402,260,398,353
"N",1992,2003,12,"2B",0,1018,2229,310,536,100,6,20,202,22,15,292,401,240,318,332
"N",1952,1966,15,"OF",0.53,1833,6913,951,2092,356,56,87,671,68,56,594,404,303,408,357
"N",1986,1998,12,"OF",0,1284,4233,546,1043,194,21,206,655,33,26,360,1277,246,448,310
"N",1966,1975,10,"SS",0,973,2806,249,642,86,12,15,226,22,18,234,421,229,284,288
"N",1989,1999,11,"3B",0,761,2300,290,591,116,8,78,365,7,8,248,610,257,416,329
"N",1982,1999,18,"OF",0.22,2201,7649,1010,2254,350,94,79,856,352,121,448,1238,295,396,333
"N",1957,1968,12,"OF",0,1136,2956,461,788,138,27,47,253,78,41,368,260,267,379,351
"N",1977,1989,13,"C",0.15,993,3274,327,834,162,5,87,452,9,17,198,429,255,387,297
"N",1951,1964,13,"OF",0,1023,2959,358,768,157,12,70,331,12,21,227,392,260,392,312
"N",1977,1987,11,"OF",0.09,1264,4101,522,1099,180,45,91,479,145,60,299,421,268,400,317
"N",1971,1983,11,"1B",0,857,2694,309,724,133,17,81,411,22,16,214,402,269,421,324
"N",1988,2000,12,"SS",0,827,1879,242,439,65,13,8,150,64,21,191,228,234,295,304
"N",1986,1999,14,"C",0.21,1546,5369,638,1453,273,21,162,745,23,22,418,938,271,420,326
"N",1984,1998,13,"2B",0,774,1767,261,461,96,10,56,169,107,43,77,325,261,422,296
"N",1971,1985,15,"OF",0,1482,3887,552,1046,161,35,28,369,78,65,454,583,269,350,346
"N",1986,2000,15,"C",0.07,1467,4222,625,1138,220,7,187,702,13,4,652,929,270,458,370
"N",1982,1998,15,"OF",0,1422,3995,492,1160,221,39,52,477,105,38,324,435,290,404,341
"N",1995,2008,14,"OF",0,1386,5574,853,1653,315,41,115,580,196,71,504,684,297,430,360
"N",1995,2004,10,"C",0,623,1807,172,467,103,4,41,188,8,6,119,295,258,388,309
"N",1992,2006,14,"OF",0,1672,5934,986,1674,339,24,299,1016,48,42,970,1360,282,498,385
"N",1958,1974,17,"1B",0.24,2089,6705,1046,1820,241,41,377,1103,43,30,1043,1091,271,488,374
"N",1974,1984,11,"3B",0.09,1112,3791,422,991,183,31,80,454,9,14,318,675,261,389,321
"N",1965,1982,18,"1B",0.17,2071,7609,959,2031,340,31,354,1244,39,35,487,1570,267,459,313
"N",1974,1985,10,"OF",0,425,865,114,217,42,1,38,145,2,4,71,136,251,434,305
"N",1977,1988,12,"OF",0,1085,3484,459,976,162,49,68,428,79,58,386,677,280,413,352
"N",1972,1986,15,"3B",0,1688,5952,753,1647,263,56,60,596,238,124,259,691,277,370,308
"N",1973,1984,12,"C",0,666,1426,119,342,56,2,19,147,10,13,224,217,240,322,342
"N",1987,2003,17,"3B",0.29,1866,7000,997,1878,338,35,378,1218,53,35,469,1363,268,489,317
"N",1964,1973,10,"C",0,451,989,83,214,37,3,12,93,0,1,63,118,216,296,271
"N",1986,2001,16,"3B",0.38,2113,7213,1084,2010,408,61,287,1173,45,57,912,1204,279,472,358
"N",1976,1985,10,"2B",0,1140,3829,448,984,193,3,43,372,6,13,297,219,257,343,310
"N",1974,1988,13,"3B",0.15,1495,4829,490,1311,266,27,84,595,14,25,343,579,271,390,321
"N",1983,1995,13,"SS",0,1544,4930,587,1211,215,59,46,439,82,62,569,519,246,341,324
"N",1994,2003,10,"OF",0,476,762,124,196,33,7,16,72,33,17,83,166,257,382,333
"N",1973,1988,16,"3B",0,1428,4208,552,1049,165,33,40,352,189,95,411,534,249,333,315
"N",1952,1963,11,"OF",0,1270,4268,578,1105,149,47,67,443,38,44,480,416,259,363,334
"N",1974,1984,11,"2B",0,989,2448,290,623,71,24,11,184,41,33,133,176,254,317,293
"N",1967,1979,11,"1B",0,829,2385,283,578,93,10,115,368,7,9,317,546,242,434,331
"N",1979,1993,15,"SS",0.07,1387,4449,496,1176,193,42,71,435,167,63,348,658,264,374,317
"N",1989,2007,19,"OF",0.11,2583,9397,1443,2548,449,124,304,1167,320,118,844,1299,271,442,332
"N",1984,1997,14,"C",0.14,1485,4698,711,1132,210,16,245,732,23,29,949,1307,241,449,369
"N",1993,2006,14,"OF",0.14,1405,4809,707,1304,258,26,202,792,107,54,442,1021,271,462,341
"N",1991,2007,17,"OF",0.06,1777,6241,1037,1666,341,60,305,983,304,115,674,1614,267,487,343
"N",1975,1985,11,"OF",0,955,2937,339,775,107,23,9,222,90,36,187,164,264,325,310
"N",1975,1990,16,"OF",0.19,1988,6868,973,1875,396,61,215,884,58,76,749,1024,273,442,355
"N",1964,1975,10,"OF",0,842,2373,284,640,106,11,33,173,34,19,126,211,270,365,310
"N",1969,1980,12,"C",0,652,1634,166,408,61,7,33,180,8,10,201,254,250,356,337
"N",1975,1985,10,"OF",0.1,894,3166,380,881,169,15,123,474,59,37,180,462,278,458,315
"N",1987,2005,18,"C",0,1108,3042,333,776,150,7,87,396,3,12,268,539,255,395,313
"N",1967,1980,13,"C",0.23,1448,5062,566,1500,205,57,65,585,35,38,223,331,296,398,326
"N",1983,1999,17,"OF",0.47,1583,5418,898,1401,256,38,335,1000,221,99,816,1352,259,505,357
"N",1982,1993,12,"1B",0,1567,5437,654,1421,254,21,169,736,24,34,641,563,261,409,336
"N",1963,1976,13,"SS",0.15,1553,5390,653,1352,237,22,210,773,10,22,661,926,251,420,332
"N",1949,1965,17,"1B",0.24,1887,6387,945,1703,292,42,318,1147,14,19,841,920,267,475,354
"N",1976,1988,13,"C",0.15,1301,4330,498,1102,176,15,65,506,10,13,626,428,255,347,348
"N",1969,1986,18,"SS",0.17,2181,7318,796,1926,293,57,46,627,167,69,483,667,263,338,310
"N",1972,1985,11,"C",0,621,1454,156,382,66,10,27,178,7,8,164,183,263,378,336
"N",1990,2000,11,"OF",0,1015,2483,297,655,123,22,44,264,66,41,165,432,264,384,311
"N",1984,1996,11,"OF",0,1155,3881,578,853,148,13,230,600,43,31,575,1409,220,442,324
"N",1969,1978,10,"3B",0,1092,3285,438,786,107,22,61,340,38,30,561,529,239,341,350
"N",1988,2002,13,"2B",0,1341,3971,551,1031,189,53,47,422,81,50,500,624,260,369,346
"N",1960,1971,12,"C",0,1079,3042,243,710,98,23,55,327,3,13,387,403,233,335,322
"N",1972,1990,19,"C",0.21,2264,7245,679,1838,303,26,105,826,38,50,663,608,254,346,315
"N",1988,1998,11,"2B",0,1069,3230,349,795,125,15,32,270,11,19,348,341,246,324,317
"N",1955,1968,14,"OF",0.43,1841,6503,971,1730,283,21,374,1159,19,27,951,880,266,489,359
"N",1953,1962,10,"SS",0,603,1178,158,260,31,11,9,83,9,10,161,297,221,289,315
"N",1964,1978,15,"2B",0.07,1481,4760,558,1168,126,19,13,282,227,80,302,482,245,288,290
"N",1970,1985,16,"SS",0,1696,6047,576,1515,241,20,25,501,81,55,265,399,251,309,283
"N",1962,1971,10,"2B",0,800,1578,195,346,45,11,7,115,55,22,117,299,219,275,278
"N",1958,1967,10,"C",0.2,905,2767,355,706,112,10,129,417,7,9,414,485,255,443,354
"N",1987,1996,10,"OF",0,599,1007,119,263,36,11,17,118,2,4,71,171,261,369,308
"N",1978,1990,13,"C",0,939,2430,245,604,117,10,23,244,19,11,205,317,249,333,310
"N",1986,1998,11,"SS",0,781,2215,249,516,114,12,28,209,20,22,171,443,233,333,291
"N",1990,2002,10,"1B",0,1012,3332,440,847,185,15,144,531,9,16,345,832,254,448,323
"N",1965,1980,16,"OF",0,1444,4553,595,1168,216,26,122,576,86,42,589,763,257,396,343
"N",1964,1973,10,"SS",0,1196,3703,297,843,111,20,8,273,11,11,136,436,228,275,255
"N",1977,1987,11,"2B",0,959,2690,318,668,97,23,39,261,54,33,205,387,248,345,303
"N",1987,2001,13,"OF",0,703,1279,190,309,78,13,31,146,22,17,166,346,242,396,331
"N",1956,1966,11,"OF",0,1075,2978,355,832,128,17,131,499,7,4,247,414,279,466,337
"N",1960,1969,10,"3B",0,771,2484,228,594,83,18,69,281,7,12,130,565,239,370,279
"N",1955,1966,12,"2B",0.08,1444,5296,731,1366,178,62,21,308,105,60,552,462,258,327,329
"N",1967,1977,11,"3B",0,1465,5186,631,1302,245,39,155,722,37,33,528,1055,251,403,322
"N",1969,1983,15,"OF",0,865,1518,174,379,62,1,42,229,3,0,222,181,250,375,345
"N",1978,1989,12,"OF",0,1360,4347,648,1069,139,20,166,609,100,61,747,953,246,402,356
"N",1990,2000,10,"C",0,488,1244,102,315,51,1,24,141,5,8,63,196,253,354,298
"N",1996,2006,11,"C",0,536,1573,181,397,82,3,71,217,5,4,67,332,252,444,286
"N",1986,1996,11,"2B",0.18,1304,4612,671,1187,238,39,119,458,103,62,439,987,257,403,329
"N",1986,1995,10,"OF",0,946,3040,343,794,145,24,90,386,27,17,193,490,261,413,307
"N",1993,2005,13,"2B",0,954,2358,294,591,112,17,25,226,36,27,205,442,251,344,310
"N",1958,1970,13,"OF",0.23,1541,5032,811,1281,216,53,256,796,84,50,795,1033,255,471,358
"N",1994,2007,14,"C",0.14,1212,4218,534,1155,257,10,150,610,8,7,335,571,274,446,337
"N",1983,2001,17,"SS",0.29,2158,7911,1057,2276,414,92,94,844,246,138,690,784,288,399,347
"N",1975,1984,10,"1B",0,926,2986,356,774,165,22,56,342,23,27,213,329,259,385,314
"N",1977,1987,11,"2B",0,564,1289,163,296,46,4,25,109,30,17,97,158,230,330,286
"N",1990,2005,14,"2B",0.21,1630,5439,731,1583,279,17,134,774,59,24,291,580,291,423,332
"N",1970,1979,10,"SS",0,915,2665,248,619,104,14,26,240,49,30,171,342,232,311,279
"N",1973,1986,14,"C",0,737,1809,146,404,62,3,34,198,1,7,185,243,223,317,295
"N",1974,1990,17,"1B",0.29,2088,7370,1124,2182,426,60,162,1071,98,63,1070,1012,296,436,384
"N",1988,2001,13,"OF",0,1328,4577,707,1333,204,37,51,454,163,73,493,494,291,385,360
"N",1981,1996,13,"OF",0,1276,4237,568,1171,229,25,134,620,31,22,267,575,276,437,318
"N",1982,1991,10,"OF",0,631,1519,190,383,71,8,55,197,15,11,90,291,252,418,298
"N",1967,1983,17,"3B",0,2017,6611,612,1570,287,46,124,648,35,31,324,943,237,351,275
"N",1977,1987,11,"SS",0,907,2797,358,703,103,36,27,255,132,53,261,409,251,343,313
"N",1988,2000,13,"1B",0,1246,3998,535,1216,246,21,76,513,45,24,356,548,304,433,361
"N",1970,1981,11,"C",0,593,1637,146,410,56,2,14,126,11,19,141,149,250,313,309
"N",1983,1997,14,"3B",0,957,2891,333,709,142,14,75,368,20,23,237,445,245,382,307
"N",1972,1991,20,"OF",0.15,2606,8996,1470,2446,483,73,385,1384,78,59,1391,1697,272,470,370
"N",1973,1987,15,"3B",0.07,1649,5809,778,1505,312,29,237,879,58,48,618,904,259,445,329
"N",1953,1965,13,"C",0.23,1206,3907,389,954,147,6,167,608,1,0,440,636,244,413,322
"N",1950,1962,10,"C",0,502,1495,135,356,49,9,41,179,4,7,115,242,238,365,294
"N",1990,2002,13,"OF",0,1354,4081,607,1021,137,37,27,342,247,107,403,514,250,322,323
"N",1987,1998,12,"OF",0,1086,3740,491,949,170,33,105,480,85,56,296,635,254,401,308
"N",1947,1962,16,"2B",0.12,1623,5644,807,1691,299,44,19,591,37,30,669,329,300,378,376
"N",1989,2005,17,"1B",0.12,2234,7592,1139,2239,500,13,255,1230,11,14,1275,1016,295,465,398
"N",1972,1987,16,"OF",0.06,1424,4154,553,1153,207,29,99,475,27,33,566,558,278,413,366
"N",1983,1997,14,"C",0.21,1161,3630,511,891,197,25,137,588,50,10,629,726,245,427,357
"N",1970,1987,18,"OF",0.06,1392,4121,494,1162,232,30,86,503,55,38,245,704,282,415,325
"N",1966,1976,10,"1B",0.3,1004,3422,481,833,141,25,173,520,52,31,383,902,243,451,322
"N",1969,1980,12,"2B",0.25,1422,5554,732,1571,243,56,21,426,120,74,424,309,283,358,334
"N",1985,2001,17,"OF",0.18,1941,7344,1125,1934,378,71,208,846,346,98,541,1526,263,419,319
"N",1974,1990,17,"OF",0.12,1912,6787,926,1884,334,69,164,824,312,134,468,1266,278,420,325
"N",1985,1997,12,"2B",0.08,1279,4677,619,1247,233,37,87,491,174,57,201,913,267,388,300
"N",1973,1989,17,"2B",0.24,1780,5950,598,1562,239,33,61,571,56,57,452,742,263,345,316
"N",1974,1985,12,"OF",0,1291,4134,560,1122,184,34,148,591,37,31,576,768,271,440,360
"N",1990,2002,13,"2B",0,1615,5779,872,1548,244,74,80,561,463,147,754,1061,268,377,352
"N",1987,2000,14,"SS",0.07,1495,4686,623,1207,182,31,25,386,96,35,658,658,258,326,351
"N",1964,1977,14,"2B",0.14,1435,4997,414,1342,223,21,34,477,33,40,231,301,269,342,300
"N",1985,1997,13,"OF",0.15,1371,5406,849,1425,176,89,28,346,752,177,477,960,264,345,324
"N",1984,1997,14,"OF",0.07,1406,5011,756,1366,289,22,262,925,37,30,768,1362,273,496,368
"N",1987,2003,16,"OF",0.12,1832,6449,1080,1651,302,50,321,1008,243,102,770,1411,256,468,336
"N",1947,1961,15,"1B",0.27,1718,5929,848,1766,290,29,279,1028,20,10,492,365,298,498,353
